original_text,edited_text,count,asp_category_1,asp_category_2,asp_category_3
The Environmental Is Good And Boarders Lakes And Parks ^,The environment is good and borders lakes and parks.,1,"Environment, geography, or natural landscape",,
The Invironment Is Good^,The environment is good.,1,"Environment, geography, or natural landscape",,
The Place Is Beautiful I Must Say^,"The place is beautiful, I must say.",1,"Environment, geography, or natural landscape",,
The Scene Nature Of The  Community ^,There is scenery and nature at the community,1,"Environment, geography, or natural landscape",,
To Care Of His Herd Of Cattle ^,I want to care for my herd of cattle.,1,"Environment, geography, or natural landscape",,
It Is Developed ^~I Don'T Want To Suffer In My Old Age^~I Need A Clean And Organised Environment ^,It is developed. I don't want to suffer in my old age. I need a clean and organized environment.,1,"Exposure to activity, amenities, and culture",Care or improved health,"Peacefulness, safety, or cleanliness"
Services Are Close By And The Scenery Is Appealing~And There Is A Nice View^,Services are close by. The scenery is appealing. There is a nice view.,1,"Exposure to activity, amenities, and culture","Environment, geography, or natural landscape","Environment, geography, or natural landscape"
Proximity To City~ Quietness Of Community And Amenities ^,There is proximity to the city. There is the quietness of the community. There is amenities.,1,"Exposure to activity, amenities, and culture","Exposure to activity, amenities, and culture","Exposure to activity, amenities, and culture"
Life Is Comfortable Here And This Is Where I Was Born.^,Life is comfortable here. This is where I was born.,1,"Exposure to activity, amenities, and culture",Familiarity or to remain in area,
It Is A Place Where Youth Stays^,It is a place where youth stays.,1,"Exposure to activity, amenities, and culture",Friendliness or other attributes of population,
Access To City Living^~Access To Education For Children ^,,1,"Exposure to activity, amenities, and culture",Improved outcomes or education for children,
Life Is Better And Children Can Access Education Freely^,Life is better. My children can access education freely.,1,"Exposure to activity, amenities, and culture",Improved outcomes or education for children,
Access To Social Amenities ^~Access To Economic Resources ^~Been Here All My Life^,,1,"Exposure to activity, amenities, and culture",Improved work or economic opportunities,Familiarity or to remain in area
It'S Within The Metropolitan Area And Also Fast Growing Town.^,It is within the metropolitan area. It is a fast growing town.,1,"Exposure to activity, amenities, and culture",Improved work or economic opportunities,
Lige At Nairobi Is Becoming And It Is Easy To Invest There^,Life in Nairobi is becoming. It is easy to invest there.,1,"Exposure to activity, amenities, and culture",Improved work or economic opportunities,
Very Classy Place And I'M Panning To Work Therec Once I'M Done With My Studies^,It is a very classy place. I am planning to work there once I am done with my studies.,1,"Exposure to activity, amenities, and culture",Improved work or economic opportunities,
It'S Close To Accra And Relatively Neat. I'M Also Building My House There^,It is close to Accra. It is relatively neat. I am also building my house there.,1,"Exposure to activity, amenities, and culture","Peacefulness, safety, or cleanliness",Available land or improved living conditions
Very Classy Place And I Very Very Safe~I'M Hoping With The Money I'M Saving And When. Complete My Studies Will Be Able To Afford A Place In Houghton^,It is a very classy place. I would be very safe. I am hoping with the money I'm saving and when I complete my studies I will be able to stay in Houghton.,1,"Exposure to activity, amenities, and culture","Peacefulness, safety, or cleanliness",Improved work or economic opportunities
It'S  An Upmarket Area With Little Noise And Serene For The Old.^,It is an upmarket area. It has little noise and is serene for the old.,1,"Exposure to activity, amenities, and culture","Peacefulness, safety, or cleanliness",
It'S A Rich And Peaceful Neighbourhood In Ghana^,It is a rich neighborhood in Ghana. It is a peaceful neighborhood in Ghana.,1,"Exposure to activity, amenities, and culture","Peacefulness, safety, or cleanliness",
Is A Well Known Location And He Likes To Stay There.^,It is a well-known location. I like to stay there.,1,"Exposure to activity, amenities, and culture",Personal preference or change,
Life Is Cheap And Very Few Bills^,Life is cheap. There are very few bills.,1,"Exposure to activity, amenities, and culture",Reduced expenses or hardship,
Is A Beautiful Place And My Parents Are There~ Clean And Quiet Environment^,It is a beautiful place. My parents are there. It is a clean and quiet environment,1,"Exposure to activity, amenities, and culture",Reunify with family or return to homeland,"Peacefulness, safety, or cleanliness"
A Cool Place With Good Environment^,,1,"Exposure to activity, amenities, and culture",,
Access To City Amenities ^,,1,"Exposure to activity, amenities, and culture",,
Access To Social Amenities ^,,1,"Exposure to activity, amenities, and culture",,
Access To Social Amenities ^~Access To City Life^,,1,"Exposure to activity, amenities, and culture",,
Always Dreamed Of Staying There~The Paceis Just Appealing To Me^,,1,"Exposure to activity, amenities, and culture",,
Because I Love The View^,,1,"Exposure to activity, amenities, and culture",,
Because It'S At The Outcast Of Nairobi ^,,1,"Exposure to activity, amenities, and culture",,
Because Life Here In Better Than My Place Of Origin (Sgoga Matatiele)^,,2,"Exposure to activity, amenities, and culture",,
Because Life Is Better Here Than At My Place Of Origin^,,1,"Exposure to activity, amenities, and culture",,
Because Of The Care Available  Here^,,1,"Exposure to activity, amenities, and culture",,
Close To Church ^,,1,"Exposure to activity, amenities, and culture",,
Everything Is Quick To Get Here^,,1,"Exposure to activity, amenities, and culture",,
Fast Life Is Good Here^,,1,"Exposure to activity, amenities, and culture",,
Has Many Places Someone Can Have Fun ^,,1,"Exposure to activity, amenities, and culture",,
He Like To Adapt To The Culture.^,,1,"Exposure to activity, amenities, and culture",,
I Want To Be Closer To The City^,,1,"Exposure to activity, amenities, and culture",,
It'S A Formal Neighbourhood^,It is a formal neighborhood.,1,"Exposure to activity, amenities, and culture",,
It'S A Middle Class Neighbourhood.^,It is a middle class neighborhood.,1,"Exposure to activity, amenities, and culture",,
It'S More Decent Neighbourhood^,It is a more decent neighborhood.,1,"Exposure to activity, amenities, and culture",,
Life Is Advanced And Good There^,Life is advanced and good there.,1,"Exposure to activity, amenities, and culture",,
Life Is Better And Good There^,Life is better and good there.,1,"Exposure to activity, amenities, and culture",,
Life Is Better Somewhere There^,Life is better somewhere there.,1,"Exposure to activity, amenities, and culture",,
Life Is Better Than Here.^,Life is better than here.,1,"Exposure to activity, amenities, and culture",,
Life Is Better^,Life is better.,1,"Exposure to activity, amenities, and culture",,
Life Is Fast Around Here^,Life is fast around here.,1,"Exposure to activity, amenities, and culture",,
Life Style^,I will go for the lifestyle.,1,"Exposure to activity, amenities, and culture",,
Live Enjoy City Life^,I would live and enjoy the city life.,1,"Exposure to activity, amenities, and culture",,
Nkandla^,It is Nkandla.,1,"Exposure to activity, amenities, and culture",,
Ruaka Is Next To Town.^,Ruaka is next to town.,1,"Exposure to activity, amenities, and culture",,
The Culture ^,The culture there.,1,"Exposure to activity, amenities, and culture",,
The Life Here Is Faster Than The Rural Areas^,The life here is faster than the rural areas.,1,"Exposure to activity, amenities, and culture",,
This Neighbourhood Is Well Developed ^,This neighborhood is well-developed.,1,"Exposure to activity, amenities, and culture",,
This Place Has A Better Life Than At The Rural Areas^,This place has a better life than in the rural areas.,1,"Exposure to activity, amenities, and culture",,
To Have A Good Time ^,I want to have a good time.,1,"Exposure to activity, amenities, and culture",,
Urban Life Is Great ^,The urban life is great.,1,"Exposure to activity, amenities, and culture",,
By That Time~ We Would Have Stayed Here For Long And Would Have Many Property And Friends Here^,,1,Familiarity or to remain in area,Available land or improved living conditions,Social connections or recommendations
I Feel Okay Here^,,1,Familiarity or to remain in area,Available land or improved living conditions,
I Want To Own A Pre-School Here And We Have Land Here^,,1,Familiarity or to remain in area,Available land or improved living conditions,
Because My Businesses Ar So Good And People Are So Good Here. I'M Married Where Woul I Go?^,,1,Familiarity or to remain in area,Friendliness or other attributes of population,
I Like It Here~ I Feel Like I Belong^,,1,Familiarity or to remain in area,Friendliness or other attributes of population,
Dont Like Moving And Am Used To My Home Town~And There Are Many Opportunities For Work Here^,,1,Familiarity or to remain in area,Improved work or economic opportunities,
Is Good To Invest Near Home Because You Can Monitor Your Work While At Home^,It is good to invest near home. You can monitor your work while at home.,1,Familiarity or to remain in area,Improved work or economic opportunities,
Stay Here In Diepsloot Forever Business Is Growing.^,I will stay here in Diepsloot. Business is growing here.,1,Familiarity or to remain in area,Improved work or economic opportunities,
Where I'M Staying In Katlehong It'S Very Quite And No Problems Too Much~And The Stores Are Close By^,It is where I am staying in Katlehong. It is very quiet with not too many problems. The stores are close by.,1,Familiarity or to remain in area,"Peacefulness, safety, or cleanliness","Exposure to activity, amenities, and culture"
I Have A Job Here And Life Is Affordable ^,,1,Familiarity or to remain in area,Reduced expenses or hardship,
Because I Belong To This Neighborhood And Is My Origin^,,1,Familiarity or to remain in area,Reunify with family or return to homeland,
James Town Is The Place I Have Lived All My Life And Have My Fans Friends There Too^,It is the place I have lived all my life. I have my fans and friends there.,1,Familiarity or to remain in area,Social connections or recommendations,
A Place That I Know Most ^,,1,Familiarity or to remain in area,,
Around South Africa^,,1,Familiarity or to remain in area,,
Because I Belong Here I Have No Other Place^,,1,Familiarity or to remain in area,,
Because I Feel I Belong Here In South Africa^,,1,Familiarity or to remain in area,,
Because I Feel The Are Many Things I Can Do Here In Thokoza^,,1,Familiarity or to remain in area,,
Because I Like This Place^,,1,Familiarity or to remain in area,,
Because I'M Used In This Place^,,1,Familiarity or to remain in area,,
Because I'M Used To The Life Of This Place^,,1,Familiarity or to remain in area,,
Because I'M Used To The Place^,,1,Familiarity or to remain in area,,
Because Is My Home^,,1,Familiarity or to remain in area,,
Because This Is Home^,,1,Familiarity or to remain in area,,
Doesn'T Want To Leave^,,1,Familiarity or to remain in area,,
Doesnt Want To Leave^,,1,Familiarity or to remain in area,,
Don'T  Know  Where To Leave So Long I Have Peace^,,1,Familiarity or to remain in area,,
Here In Gauteng^,,1,Familiarity or to remain in area,,
Here In South Africa It'S Better Than Back Home In Zimbabwe So I Don'T Have Plans Of Moving Back^,,1,Familiarity or to remain in area,,
Here Where He Is Staying Now Because He Stays With His Loved Ones Here^,,1,Familiarity or to remain in area,,
I Am Already On Retirement And I Am Here  Because I Am Close To Family And Friends ^,,1,Familiarity or to remain in area,,
I Am Married Here So My Family Is S Here^,,1,Familiarity or to remain in area,,
I Am Not Gonna Move^,,1,Familiarity or to remain in area,,
I Am Old I Can'T Start Life Elsewhere Now ^,,1,Familiarity or to remain in area,,
I Am Used To This Place^,,2,Familiarity or to remain in area,,
I Am Very Comfortable With This Place^,,1,Familiarity or to remain in area,,
I Belong Here^,,1,Familiarity or to remain in area,,
I Belong To This Neighborhood I Am Well Known Here In South Africa^,,1,Familiarity or to remain in area,,
I Came Here When I Was Young And This Is M Home When M Parents Passaway^,,1,Familiarity or to remain in area,,
I Can'T Go Back Home.^,,2,Familiarity or to remain in area,,
I Can'T Retire From My Calling~ Death Will Be My Retirement^,,1,Familiarity or to remain in area,,
I Cannot Go Back Home~Life Is Better Here^,,1,Familiarity or to remain in area,,
I Consider This Place Home^,,1,Familiarity or to remain in area,,
I Don'T Have Anyone Backhome~My Parents Are No More And I Was The Only Child~So I'M Building My Own Life With My Family^,,1,Familiarity or to remain in area,,
I Don'T Have Family Anywhere Else Ihave My Family Here Now^,,1,Familiarity or to remain in area,,
I Don'T Know Anywhere Aside Here Because I Was Born I  This Community ^,,1,Familiarity or to remain in area,,
I Don'T Want To Start From Scratch^,,1,Familiarity or to remain in area,,
I Don'T Want To Stay Here Forever^,,1,Familiarity or to remain in area,,
I Dont Know Where Else Apart From This Place^,,1,Familiarity or to remain in area,,
I Feel Comfortable Here In Ghana^,,1,Familiarity or to remain in area,,
I Feel Comfortable In Kenya.^,,1,Familiarity or to remain in area,,
I Feel Established Here^,,1,Familiarity or to remain in area,,
I Feel I B I Have My Family Hereenglish^,,1,Familiarity or to remain in area,,
I Feel This Is My Home^,,1,Familiarity or to remain in area,,
I Have A Business And A House And My Family Is All Here So I'M Not Planning To Move^,,1,Familiarity or to remain in area,,
I Have Always Lived Here And Belong Here^,,1,Familiarity or to remain in area,,
I Have Been Here For More Than 5 Years And I Can Now Call It Home.^,,1,Familiarity or to remain in area,,
I Have Been Staying Here For A Very Long Time So I Am Comfortable^,,1,Familiarity or to remain in area,,
I Have Future In This Neighbourhood ^,,1,Familiarity or to remain in area,,
I Have Lived Here My Whole Life^,,1,Familiarity or to remain in area,,
I Have No Plans To Live Anywhere ^,,1,Familiarity or to remain in area,,
I Have Not Been To Any Place Before.^,,1,Familiarity or to remain in area,,
I Have Relocated A Long Time Ago^,,1,Familiarity or to remain in area,,
I Like It Here ^,,2,Familiarity or to remain in area,,
I Like It Here^,,5,Familiarity or to remain in area,,
I Like My My Home^,,1,Familiarity or to remain in area,,
I Like To Stay Here^,,1,Familiarity or to remain in area,,
I Love My Home^,,1,Familiarity or to remain in area,,
I Think Life Here In Johannesburg Us Quite Good^,,1,Familiarity or to remain in area,,
I Was Born And Raised Here^,,1,Familiarity or to remain in area,,
I Was Born Here So Don'T Feel Comfortable Moving^,,1,Familiarity or to remain in area,,
I Was Born Here^,,1,Familiarity or to remain in area,,
I'M Already Used To Be Here^,,1,Familiarity or to remain in area,,
I'M Already Used To It^,,1,Familiarity or to remain in area,,
I'M Just Used In This Place^,,1,Familiarity or to remain in area,,
I'M Now Used To The Lifestyle And Everything Else^,,1,Familiarity or to remain in area,,
I'M Used To The Life Of This Place^,,1,Familiarity or to remain in area,,
I'Ve Always Grown Up Here It'S My Hometown^,,1,Familiarity or to remain in area,,
Im Used To My Place Of Resistance Here In Kayole^,I'm used to my place of residence here in Kayole.,1,Familiarity or to remain in area,,
It Is A Place I Am Used To^,It is a place I am used to.,1,Familiarity or to remain in area,,
It Is Refreshing To Retire To A Place You Know^,It is refreshing to retire to a place you know.,1,Familiarity or to remain in area,,
It'S Where I'Ve Made A Life For Myself^,It is where I have made a life for myself.,1,Familiarity or to remain in area,,
Its The Only Home I Know As At Now. ^,It is the only home I know as of now.,1,Familiarity or to remain in area,,
Its Where Am Used To^,It is where I am used to.,1,Familiarity or to remain in area,,
Just Here^,I will just stay here.,1,Familiarity or to remain in area,,
Lived Here Most Part Of My Life ^,I lived here for most of my life.,1,Familiarity or to remain in area,,
My Whole Life Revolves Around This Place^,My whole life revolves around this place.,1,Familiarity or to remain in area,,
No Desire To Move Because Of Old Age^,I have no desire to move because of my old age.,1,Familiarity or to remain in area,,
No Family In Hometown ^,There is no family in my hometown.,1,Familiarity or to remain in area,,
Nowhere Else I Can Go^,There is nowhere else I can go.,1,Familiarity or to remain in area,,
She Has Lived Here Since She Was Born.^,I have lived here since I was born.,1,Familiarity or to remain in area,,
She Likes To Stay In Her Neighborhood Because She Grew Up Here.^,I would like to stay in my neighborhood because I grew up there.,1,Familiarity or to remain in area,,
