social networks have increased ^,1,Modified social circles
change of tribe^,1,Modified social circles
I need to surround my Driven people who are ambitious and not toxic^,1,Modified social circles
Depending totally on people ^,1,Modified social circles
I avoid making too many friends ^~I have minimised the way I go out with friends ^,1,Modified social circles
my country of origin ^,1,Modified social circles
because they are people who are not wanting us to speak our language^,1,Modified social circles
Being  Versatile ^,2,More versatile
become versatile and can do vatious businesses^,1,More versatile
able to fend and can do diverse jobs^,1,More versatile
I had to learn how to do other jobs^~I learnt how to fend for myself^,1,More versatile
Be open to new ideas^,1,More versatile
have become more agile^,1,More versatile
economically versatile^,1,More versatile
economically agile and more educated and informed ^,1,More versatile
economically versatile and all round^,1,More versatile
To be versatile in my economic  undertakings ^,1,More versatile
economically more active and agile^,1,More versatile
To become versatile ^,1,More versatile
have learnt diverse businesses and new skills ^,1,More versatile
Being Versatile ^,1,More versatile
You have adapt to any situation you come across^,1,More versatile
become jack of all trades^,1,More versatile
have become skilled and versatile^,1,More versatile
am more skilled in diverse trades^,1,More versatile
reskilled inorder to keep up with economy^,1,More versatile
Being able to do anything that can sustain me economically.^,1,More versatile
I had to change my lifestyle because most of the things are slow here^,1,Negative change in lifestyle or values
Became a street boy^,1,Negative change in lifestyle or values
sometimes I have to do crime for me to survive^,1,Negative change in lifestyle or values
I have lost my moral values^,1,Negative change in lifestyle or values
I had to forgo my moral values^,1,Negative change in lifestyle or values
have become more beggary and cannot fend for myself^,1,Negative change in lifestyle or values
I have been morally corrupt^,1,Negative change in lifestyle or values
I have stopped going out because life in Ghana is expensive ^,1,Negative change in lifestyle or values
in some cases I was tempted to do crime cause of unemployment^,1,Negative change in lifestyle or values
Have to change dress code^,1,Negative change in lifestyle or values
started drinking^,1,Negative change in lifestyle or values
started using drugs^,1,Negative change in lifestyle or values
from management to sales ^,1,Occupational change
i had to learn tailoring and sewing skills.^,1,Occupational change
change of work from house maid to working full time^,1,Occupational change
from being a hairdresser to waitress^,1,Occupational change
"by creating my own job""thinking out of the box""you become too comfortable^",1,Occupational change
opened a business^,1,Occupational change
Drive commercial vehicles to earn money to survive^,1,Occupational change
He has was a mechanic before arriving here now he is a taxi driver^,1,Occupational change
Learn a different trade in the city here^,1,Occupational change
from working as an agricultural worker to been a hawker or taking people photos (Camera ma)^,1,Occupational change
Had learn how to operate road construction machinery in other to get job^,1,Occupational change
I had to shift from Driving to  operate an entertainment industry^,1,Occupational change
i changed to hospitality work ^,1,Occupational change
do night shift jobs^,1,Occupational change
Because of the business  i do - selling illicit brew ^,1,Occupational change
from doing ICT to plumbing ^,1,Occupational change
train as a cabin crew^,1,Occupational change
Changed from fishing to be  a mechanic ^,1,Occupational change
Changed tailoring to trade in consumables ^,1,Occupational change
to be self-employed than been employed ^,1,Occupational change
tried to learn sales ^,1,Occupational change
working for my family^,1,Occupational change
I had to stop the tailoring job when I arrived in Madina for the first time and switch to trading in provisions because the latter was more profitable^,1,Occupational change
start my own business^,1,Occupational change
I had to venture into electronic repairs^,1,Occupational change
Covid has changed many times like w orking hours^,1,Occupational change
keeping Time~ being punctual ^,1,Self-improvement
To be wise ^,1,Self-improvement
staying away from criminal Activities^,1,Self-improvement
still studying and don't forgive easy to get what he want in his life.^,1,Self-improvement
I stopped drinking alcohol^,1,Self-improvement
good behavior^,1,Self-improvement
I can plan my own things~ my time has to be shared with my work^,1,Self-improvement
now I'm able to see wrong and right^,1,Self-improvement
Being emotionally  strong and stoic.^,1,Self-improvement
better at budgeting and managing income^,1,Stricter financial management
Cutting on expenses ^,1,Stricter financial management
became financially frugal ^,1,Stricter financial management
Learnt how to save more money^,1,Stricter financial management
I have stopped over spending ^,1,Stricter financial management
Reduced daily expenditure ^,1,Stricter financial management
Learn to save ^,1,Stricter financial management
Better at managing small income^,1,Stricter financial management
change my spending habits ^,1,Stricter financial management
have become a better manager of husbands income ^,1,Stricter financial management
I spend less now^~I cannot buy the things I want ^,1,Stricter financial management
have become more frugal and better at noting business opportunities^,1,Stricter financial management
Save more^~Live a simple life ^,1,Stricter financial management
Stopped drinking ^~Stopped Womanising ^~Stopped over spending ^,1,Stricter financial management
Stopped spending on funeral cloths Stopped going out unnecessarily Stopped spending out friends and outings ^,1,Stricter financial management
I have become more economical~ I eat twice and sometimes even once in a day^,1,Stricter financial management
Stopped going out with friends ^,1,Stricter financial management
she had to leave ladysmith with her mother to study this side.^,1,Sustain education
To work and sponsor my education ^,1,Sustain education
Had to go into deliveries to sustain myself after School^,1,Sustain education
To work hard in order to fetch for my college fees^,1,Sustain education
To work hard for my college Fees^,1,Sustain education
Changed from being a normal civilian to a student.  Changed from being a normal civilian to a student. He became a Student.^,1,Sustain education
I have become more tolerant ^~I accept people the way they are ^,1,Tolerance
I had to be more open to people^,1,Tolerance
Be friendly ^,1,Tolerance
Had to accept things the way they are^,1,Tolerance
Stop school to learn Mechanic^,1,Unfinished education
to stop my education and work as a caretaker^,1,Unfinished education
Had switch from schooling to learn a trade in other to survive^,1,Unfinished education
Because I didn't go to formal school I had learn a trade to be able to survive but if I had gone to school perhaps I would not be a mechanic^,1,Unfinished education
I have learnt to work in fields lower than my educational   level^,1,Unrealized profession
Accept to be apprentice when I serve as master in Togo ^,1,Unrealized profession
Do different work aside what i learn in my community of origin ^,1,Unrealized profession
After learning a trade in tailoring~ I had nobody to help me start so I had to venture into the sale of fruits^,1,Unrealized profession
I had to learn how to trade since I have not gotten the opportunity yet to pursue my professional dream^,1,Unrealized profession
Had to switch from teaching to manage my own business^,1,Unrealized profession
Had to venture into running my own mobile money business while waiting for school^,1,Unrealized profession
Working as domestic was not her dreams.^,1,Unrealized profession
His daughter since she was born he had to stop school and look for employment^,1,Unrealized profession
I learnt a trade in tailoring but now I have to be assisting in the selling of food until I save enough money to open my own shop.^,1,Unrealized profession
Doing hard work ^,1,Worked harder
By working hard^,2,Worked harder
working more times than before^,1,Worked harder
working  extra hard since am in a foreign land.^,1,Worked harder
Working harder ^,1,Worked harder
a Work hard.^,1,Worked harder
Being committed to hardwork to make money ^,1,Worked harder
Since the pandemic his boss told him that he will come every two months .^,1,Worked harder
I have had to work harder^~And save more to take care of my basic needs in the city^,1,Worked harder
Stopped following friends ^~I take my work more serious now^~And I save more now^,1,Worked harder
Work harder^,1,Worked harder
work extra hard^,1,Worked harder
To work extra hard since the place was far from Home^,1,Worked harder
I have to work harder in order to survive and get my own place ^,1,Worked harder
Do more difficult work to survive ^,1,Worked harder
Work hard  inorder to put  food on my table since it's away from home^,1,Worked harder
working overtime^,1,Worked harder
Working extra hard^,1,Worked harder
Working  extra hard to survive.^,1,Worked harder
By being a hard worker ^,1,Worked harder
To work extra hard^,1,Worked harder
,count,
-1,1361,
-3,8,
None ^,1,
refused to say^,1,
