L1_orig,L2_orig,L3_orig,tuple_orig,L1_edit,L1_chg,L2_edit,L2_chg,L3_edit,L3_chg
Sowotuom,Accra,Ghana,"('Sowotuom', 'Accra', 'Ghana')",Sowutuom,TRUE,Accra,FALSE,Ghana,FALSE
Sowutuom,Accra,Ghana,"('Sowutuom', 'Accra', 'Ghana')",Sowutuom,FALSE,Accra,FALSE,Ghana,FALSE
Spintex,Accra,Ghana,"('Spintex', 'Accra', 'Ghana')",Spintex,FALSE,Accra,FALSE,Ghana,FALSE
Spintex,Achimota,Ghana,"('Spintex', 'Achimota', 'Ghana')",Spintex,FALSE,Achimota,FALSE,Ghana,FALSE
Spintex,Nugua,Ghana,"('Spintex', 'Nugua', 'Ghana')",Spintex,FALSE,Nungua,TRUE,Ghana,FALSE
Spintex,Tema,Ghana,"('Spintex', 'Tema', 'Ghana')",Spintex,FALSE,Tema,FALSE,Ghana,FALSE
Spintex Road,Accra,Ghana,"('Spintex Road', 'Accra', 'Ghana')",Spintex,TRUE,Accra,FALSE,Ghana,FALSE
Sraha,Accra,Ghana,"('Sraha', 'Accra', 'Ghana')",Ashaley Botwe,TRUE,Accra,FALSE,Ghana,FALSE
Sreko,Bolgatanga,Ghana,"('Sreko', 'Bolgatanga', 'Ghana')",Sreko,FALSE,Bolgatanga,FALSE,Ghana,FALSE
Srekob Sreko,Bolgatanga,Ghana,"('Srekob Sreko', 'Bolgatanga', 'Ghana')",Sreko,TRUE,Bolgatanga,FALSE,Ghana,FALSE
Srekor,Kumasi,Ghana,"('Srekor', 'Kumasi', 'Ghana')",Srekor,FALSE,Kumasi,FALSE,Ghana,FALSE
Srekor,Srekor,Ghana,"('Srekor', 'Srekor', 'Ghana')",Srekor,FALSE,Srekor,FALSE,Ghana,FALSE
Student,Accra,Ghana,"('Student', 'Accra', 'Ghana')",Ayi Mensah,TRUE,Accra,FALSE,Ghana,FALSE
Suame,Kumasi,Ghana,"('Suame', 'Kumasi', 'Ghana')",Suame,FALSE,Kumasi,FALSE,Ghana,FALSE
Sugula,Sugula,Ghana,"('Sugula', 'Sugula', 'Ghana')",-19,TRUE,-19,TRUE,Ghana,FALSE
Suhum,Accra,Ghana,"('Suhum', 'Accra', 'Ghana')",Suhum,FALSE,Accra,FALSE,Ghana,FALSE
Suhum,Nkawkaw,Ghana,"('Suhum', 'Nkawkaw', 'Ghana')",Suhum,FALSE,Nkawkaw,FALSE,Ghana,FALSE
Suhum,Suhum,Ghana,"('Suhum', 'Suhum', 'Ghana')",Suhum,FALSE,Suhum,FALSE,Ghana,FALSE
Sukula,Darkomam,Ghana,"('Sukula', 'Darkomam', 'Ghana')",-19,TRUE,Darkuman,TRUE,Ghana,FALSE
Sukula,Darkoman,Ghana,"('Sukula', 'Darkoman', 'Ghana')",-19,TRUE,Darkuman,TRUE,Ghana,FALSE
Sukura,Accra,Ghana,"('Sukura', 'Accra', 'Ghana')",Sukura,FALSE,Accra,FALSE,Ghana,FALSE
Sunyani,Na,Ghana,"('Sunyani', 'Na', 'Ghana')",Sunyani,FALSE,-11,TRUE,Ghana,FALSE
Sunyani,Sunyani,Ghana,"('Sunyani', 'Sunyani', 'Ghana')",Sunyani,FALSE,Sunyani,FALSE,Ghana,FALSE
Sunyani,Techiman,Ghana,"('Sunyani', 'Techiman', 'Ghana')",Sunyani,FALSE,Techiman,FALSE,Ghana,FALSE
Sunyani Compound,Sunyani,Ghana,"('Sunyani Compound', 'Sunyani', 'Ghana')",Sunyani,TRUE,Sunyani,FALSE,Ghana,FALSE
Sunyani Number 2,Accra,Ghana,"('Sunyani Number 2', 'Accra', 'Ghana')",Sunyani,TRUE,Accra,FALSE,Ghana,FALSE
Sunyani Number 2,Sunyani,Ghana,"('Sunyani Number 2', 'Sunyani', 'Ghana')",Sunyani,TRUE,Sunyani,FALSE,Ghana,FALSE
Surelere,Lagos,Ghana,"('Surelere', 'Lagos', 'Ghana')",Surelere,FALSE,Lagos,FALSE,Ghana,FALSE
Surelere,Surelere,Ghana,"('Surelere', 'Surelere', 'Ghana')",Surelere,FALSE,Surelere,FALSE,Ghana,FALSE
Susuanso,Kumasi,Ghana,"('Susuanso', 'Kumasi', 'Ghana')",Susuanso,FALSE,Kumasi,FALSE,Ghana,FALSE
Susuanso,Tanoso,Ghana,"('Susuanso', 'Tanoso', 'Ghana')",Susuanso,FALSE,Tanoso,FALSE,Ghana,FALSE
Swedru,Accra,Ghana,"('Swedru', 'Accra', 'Ghana')",Swedru,FALSE,Accra,FALSE,Ghana,FALSE
Swedru,Akim Oda,Ghana,"('Swedru', 'Akim Oda', 'Ghana')",Swedru,FALSE,Akim Oda,FALSE,Ghana,FALSE
Swedru,Cape Coast,Ghana,"('Swedru', 'Cape Coast', 'Ghana')",Swedru,FALSE,Cape Coast,FALSE,Ghana,FALSE
Swedru,Winneba,Ghana,"('Swedru', 'Winneba', 'Ghana')",Swedru,FALSE,Winneba,FALSE,Ghana,FALSE
Swiss,Swiss,Ghana,"('Swiss', 'Swiss', 'Ghana')",-19,TRUE,-19,TRUE,Ghana,FALSE
Taakwa in Yamransa Central Region,Cape Coast,Ghana,"('Taakwa in Yamransa Central Region', 'Cape Coast', 'Ghana')",Tarkwa,TRUE,Cape Coast,FALSE,Ghana,FALSE
Taakwa In Yamransa Central Region,Cape Coast,Ghana,"('Taakwa In Yamransa Central Region', 'Cape Coast', 'Ghana')",Tarkwa,TRUE,Cape Coast,FALSE,Ghana,FALSE
Taakwa In Yamransa Central Region,Taakwa In Yamransa Central Region,Ghana,"('Taakwa In Yamransa Central Region', 'Taakwa In Yamransa Central Region', 'Ghana')",Tarkwa,TRUE,Cape Coast,TRUE,Ghana,FALSE
Tabora,Accra,Ghana,"('Tabora', 'Accra', 'Ghana')",Tabora,FALSE,Accra,FALSE,Ghana,FALSE
Tafo,Koforidua,Ghana,"('Tafo', 'Koforidua', 'Ghana')",Tafo,FALSE,Koforidua,FALSE,Ghana,FALSE
Tafo,Kumasi,Ghana,"('Tafo', 'Kumasi', 'Ghana')",Tafo,FALSE,Kumasi,FALSE,Ghana,FALSE
Tafo,Tamale,Ghana,"('Tafo', 'Tamale', 'Ghana')",Tafo,FALSE,Tamale,FALSE,Ghana,FALSE
Tafo In Kumasi,Accra,Ghana,"('Tafo In Kumasi', 'Accra', 'Ghana')",Tafo,TRUE,Accra,FALSE,Ghana,FALSE
Taifa,Accra,Ghana,"('Taifa', 'Accra', 'Ghana')",Taifa,FALSE,Accra,FALSE,Ghana,FALSE
Taifa,Achimota,Ghana,"('Taifa', 'Achimota', 'Ghana')",Taifa,FALSE,Achimota,FALSE,Ghana,FALSE
Takla,Tema,Ghana,"('Takla', 'Tema', 'Ghana')",Taifa,TRUE,Tema,FALSE,Ghana,FALSE
Takoradi,Accra,Ghana,"('Takoradi', 'Accra', 'Ghana')",Takoradi,FALSE,Accra,FALSE,Ghana,FALSE
Takoradi,Sekondi,Ghana,"('Takoradi', 'Sekondi', 'Ghana')",Takoradi,FALSE,Sekondi,FALSE,Ghana,FALSE
Takoradi,Takoradi,Ghana,"('Takoradi', 'Takoradi', 'Ghana')",Takoradi,FALSE,Takoradi,FALSE,Ghana,FALSE
Takwa,Takoradi,Ghana,"('Takwa', 'Takoradi', 'Ghana')",Tarkwa,TRUE,Takoradi,FALSE,Ghana,FALSE
Takwa,Takwa,Ghana,"('Takwa', 'Takwa', 'Ghana')",Tarkwa,TRUE,Takoradi,TRUE,Ghana,FALSE
Talensi,Accra,Ghana,"('Talensi', 'Accra', 'Ghana')",Talensi,FALSE,Accra,FALSE,Ghana,FALSE
Talensi,Bolgatanga,Ghana,"('Talensi', 'Bolgatanga', 'Ghana')",Talensi,FALSE,Bolgatanga,FALSE,Ghana,FALSE
Tamale,Accra,Ghana,"('Tamale', 'Accra', 'Ghana')",Tamale,FALSE,Accra,FALSE,Ghana,FALSE
Tamale,Burpe,Ghana,"('Tamale', 'Burpe', 'Ghana')",Tamale,FALSE,Tamale,TRUE,Ghana,FALSE
Tamale,Kumasi,Ghana,"('Tamale', 'Kumasi', 'Ghana')",Tamale,FALSE,Kumasi,FALSE,Ghana,FALSE
Tamale,Ra,Ghana,"('Tamale', 'Ra', 'Ghana')",Tamale,FALSE,Tamale,TRUE,Ghana,FALSE
Tamale,Tamale,Ghana,"('Tamale', 'Tamale', 'Ghana')",Tamale,FALSE,Tamale,FALSE,Ghana,FALSE
Tamale,Yendi,Ghana,"('Tamale', 'Yendi', 'Ghana')",Tamale,FALSE,Yendi,FALSE,Ghana,FALSE
Tamale Barracks,Tamale,Ghana,"('Tamale Barracks', 'Tamale', 'Ghana')",Tamale,TRUE,Tamale,FALSE,Ghana,FALSE
Tanoso,Tanoso,Ghana,"('Tanoso', 'Tanoso', 'Ghana')",Tanoso,FALSE,Tanoso,FALSE,Ghana,FALSE
Tarkwa,Kumasi,Ghana,"('Tarkwa', 'Kumasi', 'Ghana')",Tarkwa,FALSE,Kumasi,FALSE,Ghana,FALSE
Tarkwa,Takoradi,Ghana,"('Tarkwa', 'Takoradi', 'Ghana')",Tarkwa,FALSE,Takoradi,FALSE,Ghana,FALSE
Tarkwa Akon,Tarkwa,Ghana,"('Tarkwa Akon', 'Tarkwa', 'Ghana')",Tarkwa,TRUE,Tarkwa,FALSE,Ghana,FALSE
Tarkwa-Naaboso,Tarkwa,Ghana,"('Tarkwa-Naaboso', 'Tarkwa', 'Ghana')",Tarkwa,TRUE,Tarkwa,FALSE,Ghana,FALSE
Tashie,Nunguaa,Ghana,"('Tashie', 'Nunguaa', 'Ghana')",Teshie,TRUE,Nungua,TRUE,Ghana,FALSE
Tatale,Tamale,Ghana,"('Tatale', 'Tamale', 'Ghana')",Tatale,FALSE,Tamale,FALSE,Ghana,FALSE
Tatale,Tatale,Ghana,"('Tatale', 'Tatale', 'Ghana')",Tatale,FALSE,Tatale,FALSE,Ghana,FALSE
Tchalo,Accra,Ghana,"('Tchalo', 'Accra', 'Ghana')",Tchalo,FALSE,Accra,FALSE,Ghana,FALSE
Tchalo,Sokode,Ghana,"('Tchalo', 'Sokode', 'Ghana')",Tchalo,FALSE,Sokode,FALSE,Ghana,FALSE
Teaching,Accra,Ghana,"('Teaching', 'Accra', 'Ghana')",-19,TRUE,Accra,FALSE,Ghana,FALSE
Techiman,Accra,Ghana,"('Techiman', 'Accra', 'Ghana')",Techiman,FALSE,Accra,FALSE,Ghana,FALSE
Techiman,Kumasi,Ghana,"('Techiman', 'Kumasi', 'Ghana')",Techiman,FALSE,Kumasi,FALSE,Ghana,FALSE
Techiman,Sunyani,Ghana,"('Techiman', 'Sunyani', 'Ghana')",Techiman,FALSE,Sunyani,FALSE,Ghana,FALSE
Techiman,Techiman,Ghana,"('Techiman', 'Techiman', 'Ghana')",Techiman,FALSE,Techiman,FALSE,Ghana,FALSE
Tegbi,Accra,Ghana,"('Tegbi', 'Accra', 'Ghana')",Tegbi,FALSE,Accra,FALSE,Ghana,FALSE
Tegbi,Ho,Ghana,"('Tegbi', 'Ho', 'Ghana')",Tegbi,FALSE,Ho,FALSE,Ghana,FALSE
Teiman,Accra,Ghana,"('Teiman', 'Accra', 'Ghana')",Oyarifa ,TRUE,Accra,FALSE,Ghana,FALSE
Teiman,Teiman,Ghana,"('Teiman', 'Teiman', 'Ghana')",Oyarifa ,TRUE,Accra,TRUE,Ghana,FALSE
Tema,Accra,Ghana,"('Tema', 'Accra', 'Ghana')",Tema,FALSE,Accra,FALSE,Ghana,FALSE
Tema,Accra 1,Ghana,"('Tema', 'Accra 1', 'Ghana')",Tema,FALSE,Accra,TRUE,Ghana,FALSE
Tema,Ashiaman,Ghana,"('Tema', 'Ashiaman', 'Ghana')",Ashaiman,TRUE,Tema,TRUE,Ghana,FALSE
Tema,Spintex,Ghana,"('Tema', 'Spintex', 'Ghana')",Spintex,TRUE,Tema,TRUE,Ghana,FALSE
Tema,Tema,Ghana,"('Tema', 'Tema', 'Ghana')",Tema,FALSE,Tema,FALSE,Ghana,FALSE
Tema Community 5,Tema,Ghana,"('Tema Community 5', 'Tema', 'Ghana')",Tema,TRUE,Tema,FALSE,Ghana,FALSE
Tema Community One,Tema,Ghana,"('Tema Community One', 'Tema', 'Ghana')",Tema,TRUE,Tema,FALSE,Ghana,FALSE
Tema New Town,Tema,Ghana,"('Tema New Town', 'Tema', 'Ghana')",Tema,TRUE,Tema,FALSE,Ghana,FALSE
Tema Station,Accra,Ghana,"('Tema Station', 'Accra', 'Ghana')",Tema,TRUE,Accra,FALSE,Ghana,FALSE
Tens Yendi,Tamale,Ghana,"('Tens Yendi', 'Tamale', 'Ghana')",Yendi,TRUE,Tamale,FALSE,Ghana,FALSE
Tepa,Kumasi,Ghana,"('Tepa', 'Kumasi', 'Ghana')",Tepa,FALSE,Kumasi,FALSE,Ghana,FALSE
Tepa,Sunyani,Ghana,"('Tepa', 'Sunyani', 'Ghana')",Tepa,FALSE,Sunyani,FALSE,Ghana,FALSE
Tepole,Tamale,Ghana,"('Tepole', 'Tamale', 'Ghana')",-19,TRUE,Tamale,FALSE,Ghana,FALSE
Tepoli,Tamale,Ghana,"('Tepoli', 'Tamale', 'Ghana')",-19,TRUE,Tamale,FALSE,Ghana,FALSE
Tesano,Accra,Ghana,"('Tesano', 'Accra', 'Ghana')",Tesano,FALSE,Accra,FALSE,Ghana,FALSE
Teshi,Accra,Ghana,"('Teshi', 'Accra', 'Ghana')",Teshie,TRUE,Accra,FALSE,Ghana,FALSE
Teshie,Accra,Ghana,"('Teshie', 'Accra', 'Ghana')",Teshie,FALSE,Accra,FALSE,Ghana,FALSE
Teshie,Teshie,Ghana,"('Teshie', 'Teshie', 'Ghana')",Teshie,FALSE,Teshie,FALSE,Ghana,FALSE
Teshie Tseaddo,Accra,Ghana,"('Teshie Tseaddo', 'Accra', 'Ghana')",Teshie,TRUE,Accra,FALSE,Ghana,FALSE
Tetegbu,Accra,Ghana,"('Tetegbu', 'Accra', 'Ghana')",Tetegbu,FALSE,Accra,FALSE,Ghana,FALSE
Texas,Texas City,Ghana,"('Texas', 'Texas City', 'Ghana')",-19,TRUE,-19,TRUE,Ghana,FALSE
Tilaberi,Niamey,Ghana,"('Tilaberi', 'Niamey', 'Ghana')",Tilaberi,FALSE,Niamey,FALSE,Ghana,FALSE
Tillaberi,Niamey,Ghana,"('Tillaberi', 'Niamey', 'Ghana')",Tillaberi,FALSE,Niamey,FALSE,Ghana,FALSE
Timber  Market In Accra,Accra,Ghana,"('Timber  Market In Accra', 'Accra', 'Ghana')",Ussher Town,TRUE,Accra,FALSE,Ghana,FALSE
Timber Market,Accra,Ghana,"('Timber Market', 'Accra', 'Ghana')",Ussher Town,TRUE,Accra,FALSE,Ghana,FALSE
Timber Market Area,Accra,Ghana,"('Timber Market Area', 'Accra', 'Ghana')",Ussher Town,TRUE,Accra,FALSE,Ghana,FALSE
Timber Market Area~ Old Fadama,Accra,Ghana,"('Timber Market Area~ Old Fadama', 'Accra', 'Ghana')",Ussher Town,TRUE,Accra,FALSE,Ghana,FALSE
Timber Market In Central Accra,Accra,Ghana,"('Timber Market In Central Accra', 'Accra', 'Ghana')",Ussher Town,TRUE,Accra,FALSE,Ghana,FALSE
Timber Market~ Old Fadama,Accra,Ghana,"('Timber Market~ Old Fadama', 'Accra', 'Ghana')",Ussher Town,TRUE,Accra,FALSE,Ghana,FALSE
Tolon,Accra,Ghana,"('Tolon', 'Accra', 'Ghana')",Tolon,FALSE,Accra,FALSE,Ghana,FALSE
Tolon,Tamale,Ghana,"('Tolon', 'Tamale', 'Ghana')",Tolon,FALSE,Tamale,FALSE,Ghana,FALSE
Tolon,Tolon,Ghana,"('Tolon', 'Tolon', 'Ghana')",Tolon,FALSE,Tolon,FALSE,Ghana,FALSE
Tondichihio In Mali,Accra,Ghana,"('Tondichihio In Mali', 'Accra', 'Ghana')",-19,TRUE,Accra,FALSE,Ghana,FALSE
Tongo,Accra,Ghana,"('Tongo', 'Accra', 'Ghana')",Tongo,FALSE,Accra,FALSE,Ghana,FALSE
Tongo,Bolgatanga,Ghana,"('Tongo', 'Bolgatanga', 'Ghana')",Tongo,FALSE,Bolgatanga,FALSE,Ghana,FALSE
Tongo,Kumasi,Ghana,"('Tongo', 'Kumasi', 'Ghana')",Tongo,FALSE,Kumasi,FALSE,Ghana,FALSE
Tongo,Saboba,Ghana,"('Tongo', 'Saboba', 'Ghana')",Tongo,FALSE,Saboba,FALSE,Ghana,FALSE
Toronto,Toronto,Ghana,"('Toronto', 'Toronto', 'Ghana')",-19,TRUE,-19,TRUE,Ghana,FALSE
Trader,Old Fadama,Ghana,"('Trader', 'Old Fadama', 'Ghana')",Old Fadama,TRUE,Accra,TRUE,Ghana,FALSE
Transport Business,Accra,Ghana,"('Transport Business', 'Accra', 'Ghana')",-15,TRUE,Accra,FALSE,Ghana,FALSE
Trassaco,Legon,Ghana,"('Trassaco', 'Legon', 'Ghana')",Trasacco Valley,TRUE,East Legon,TRUE,Ghana,FALSE
Trassaco Estates,Accra,Ghana,"('Trassaco Estates', 'Accra', 'Ghana')",Trasacco Valley,TRUE,Accra,FALSE,Ghana,FALSE
Trazaco,East Legon,Ghana,"('Trazaco', 'East Legon', 'Ghana')",Trasacco Valley,TRUE,East Legon,FALSE,Ghana,FALSE
Tsanyawa,Zango Bichi,Ghana,"('Tsanyawa', 'Zango Bichi', 'Ghana')",Tsanyawa,FALSE,Zango Bichi,FALSE,Ghana,FALSE
Tsogu,Tamale,Ghana,"('Tsogu', 'Tamale', 'Ghana')",-19,TRUE,Tamale,FALSE,Ghana,FALSE
Tuba,Accra,Ghana,"('Tuba', 'Accra', 'Ghana')",Tuba,FALSE,Accra,FALSE,Ghana,FALSE
Tuba Roundabout,Accra,Ghana,"('Tuba Roundabout', 'Accra', 'Ghana')",Tuba,TRUE,Accra,FALSE,Ghana,FALSE
Tudu,Accra,Ghana,"('Tudu', 'Accra', 'Ghana')",Tudu,FALSE,Accra,FALSE,Ghana,FALSE
Tudu In Accra Central,Accra,Ghana,"('Tudu In Accra Central', 'Accra', 'Ghana')",Tudu,TRUE,Accra,FALSE,Ghana,FALSE
Tukura,Accra,Ghana,"('Tukura', 'Accra', 'Ghana')",-19,TRUE,Accra,FALSE,Ghana,FALSE
Tumu,Accra,Ghana,"('Tumu', 'Accra', 'Ghana')",Tumu,FALSE,Accra,FALSE,Ghana,FALSE
Tumu,Bolgatanga,Ghana,"('Tumu', 'Bolgatanga', 'Ghana')",Tumu,FALSE,Bolgatanga,FALSE,Ghana,FALSE
Tumu,Gollou,Ghana,"('Tumu', 'Gollou', 'Ghana')",Tumu,FALSE,-19,TRUE,Ghana,FALSE
Tumu,Tamale,Ghana,"('Tumu', 'Tamale', 'Ghana')",Tumu,FALSE,Tamale,FALSE,Ghana,FALSE
Tumu,Wa,Ghana,"('Tumu', 'Wa', 'Ghana')",Tumu,FALSE,Wa,FALSE,Ghana,FALSE
Tunga,Accra,Ghana,"('Tunga', 'Accra', 'Ghana')",Tunga,FALSE,Accra,FALSE,Ghana,FALSE
Tutu,Aburi,Ghana,"('Tutu', 'Aburi', 'Ghana')",Tutu,FALSE,Aburi,FALSE,Ghana,FALSE
Tutu,Accra,Ghana,"('Tutu', 'Accra', 'Ghana')",Tutu,FALSE,Accra,FALSE,Ghana,FALSE
Twereso,Oda,Ghana,"('Twereso', 'Oda', 'Ghana')",Twereso,FALSE,Oda,FALSE,Ghana,FALSE
Twifo Praso,Accra,Ghana,"('Twifo Praso', 'Accra', 'Ghana')",Twifo Praso,FALSE,Accra,FALSE,Ghana,FALSE
Twifo Praso,Cape Coast,Ghana,"('Twifo Praso', 'Cape Coast', 'Ghana')",Twifo Praso,FALSE,Cape Coast,FALSE,Ghana,FALSE
Twifo Praso,Twifo Praso,Ghana,"('Twifo Praso', 'Twifo Praso', 'Ghana')",Twifo Praso,FALSE,Twifo Praso,FALSE,Ghana,FALSE
Usher,Accra,Ghana,"('Usher', 'Accra', 'Ghana')",Ussher Town,TRUE,Accra,FALSE,Ghana,FALSE
Ussher,Accra,Ghana,"('Ussher', 'Accra', 'Ghana')",Ussher Town,TRUE,Accra,FALSE,Ghana,FALSE
Vittin~ Tamale,Tamale,Ghana,"('Vittin~ Tamale', 'Tamale', 'Ghana')",Changi,TRUE,Tamale,FALSE,Ghana,FALSE
Voga,Accra,Ghana,"('Voga', 'Accra', 'Ghana')",-19,TRUE,Accra,FALSE,Ghana,FALSE
Wa,Kumasi,Ghana,"('Wa', 'Kumasi', 'Ghana')",Wa,FALSE,Kumasi,FALSE,Ghana,FALSE
Wa,Wa,Ghana,"('Wa', 'Wa', 'Ghana')",Wa,FALSE,Wa,FALSE,Ghana,FALSE
Walam,Accra,Ghana,"('Walam', 'Accra', 'Ghana')",Walam,FALSE,Accra,FALSE,Ghana,FALSE
Walam,Niamey,Ghana,"('Walam', 'Niamey', 'Ghana')",Walam,FALSE,Niamey,FALSE,Ghana,FALSE
Walensi,Walensi,Ghana,"('Walensi', 'Walensi', 'Ghana')",Walensi,FALSE,Walensi,FALSE,Ghana,FALSE
Walewale,Accra,Ghana,"('Walewale', 'Accra', 'Ghana')",Walewale,FALSE,Accra,FALSE,Ghana,FALSE
Walewale,Bolgatanga,Ghana,"('Walewale', 'Bolgatanga', 'Ghana')",Walewale,FALSE,Bolgatanga,FALSE,Ghana,FALSE
Walewale,Tama,Ghana,"('Walewale', 'Tama', 'Ghana')",Walewale,FALSE,-19,TRUE,Ghana,FALSE
Walewale,Tamale,Ghana,"('Walewale', 'Tamale', 'Ghana')",Walewale,FALSE,Tamale,FALSE,Ghana,FALSE
Wamanafo,Accra,Ghana,"('Wamanafo', 'Accra', 'Ghana')",Wamanafo,FALSE,Accra,FALSE,Ghana,FALSE
Wamanafo,Berekum,Ghana,"('Wamanafo', 'Berekum', 'Ghana')",Wamanafo,FALSE,Berekum,FALSE,Ghana,FALSE
Wamanafo,Wamanafo,Ghana,"('Wamanafo', 'Wamanafo', 'Ghana')",Wamanafo,FALSE,Wamanafo,FALSE,Ghana,FALSE
Was Born Here And I Was Not Working But Schooling,Accra,Ghana,"('Was Born Here And I Was Not Working But Schooling', 'Accra', 'Ghana')",-19,TRUE,Accra,FALSE,Ghana,FALSE
Was Not Working Then,Accra,Ghana,"('Was Not Working Then', 'Accra', 'Ghana')",-19,TRUE,Accra,FALSE,Ghana,FALSE
Wass At Acenta,Accra,Ghana,"('Wass At Acenta', 'Accra', 'Ghana')",-19,TRUE,Accra,FALSE,Ghana,FALSE
Wassa,Accra,Ghana,"('Wassa', 'Accra', 'Ghana')",-19,TRUE,Accra,FALSE,Ghana,FALSE
Wassa,Takoradi,Ghana,"('Wassa', 'Takoradi', 'Ghana')",-19,TRUE,Takoradi,FALSE,Ghana,FALSE
Wassa,Wassa,Ghana,"('Wassa', 'Wassa', 'Ghana')",-19,TRUE,-19,TRUE,Ghana,FALSE
Waste Collection,Accra,Ghana,"('Waste Collection', 'Accra', 'Ghana')",-15,TRUE,Accra,FALSE,Ghana,FALSE
Wato,Accra,Ghana,"('Wato', 'Accra', 'Ghana')",James Town,TRUE,Accra,FALSE,Ghana,FALSE
Wato~ James Town,Accra,Ghana,"('Wato~ James Town', 'Accra', 'Ghana')",James Town,TRUE,Accra,FALSE,Ghana,FALSE
Weija,Accra,Ghana,"('Weija', 'Accra', 'Ghana')",Weija,FALSE,Accra,FALSE,Ghana,FALSE
Welfare Medina,Accra,Ghana,"('Welfare Medina', 'Accra', 'Ghana')",Madina,TRUE,Accra,FALSE,Ghana,FALSE
Welfare-Medina,Accra,Ghana,"('Welfare-Medina', 'Accra', 'Ghana')",Madina,TRUE,Accra,FALSE,Ghana,FALSE
Wenchi,Techiman,Ghana,"('Wenchi', 'Techiman', 'Ghana')",Wenchi,FALSE,Techiman,FALSE,Ghana,FALSE
West  Le,Accra,Ghana,"('West  Le', 'Accra', 'Ghana')",West  Le,FALSE,Accra,FALSE,Ghana,FALSE
West Legon,Accra,Ghana,"('West Legon', 'Accra', 'Ghana')",Westland,TRUE,Accra,FALSE,Ghana,FALSE
West Legonit,Accra,Ghana,"('West Legonit', 'Accra', 'Ghana')",Westland,TRUE,Accra,FALSE,Ghana,FALSE
Windy Ridge~ Takoradi,Takoradi,Ghana,"('Windy Ridge~ Takoradi', 'Takoradi', 'Ghana')",Windy Ridge,TRUE,Takoradi,FALSE,Ghana,FALSE
Winneba,Cape Coast,Ghana,"('Winneba', 'Cape Coast', 'Ghana')",Winneba,FALSE,Cape Coast,FALSE,Ghana,FALSE
Winneba,Winneba,Ghana,"('Winneba', 'Winneba', 'Ghana')",Winneba,FALSE,Winneba,FALSE,Ghana,FALSE
Winniba,Accra,Ghana,"('Winniba', 'Accra', 'Ghana')",Winneba,TRUE,Accra,FALSE,Ghana,FALSE
Winniba,Winniba,Ghana,"('Winniba', 'Winniba', 'Ghana')",Winneba,TRUE,Accra,TRUE,Ghana,FALSE
Within City (No Fixed Location),Accra,Ghana,"('Within City (No Fixed Location)', 'Accra', 'Ghana')",-15,TRUE,Accra,FALSE,Ghana,FALSE
Woe,Angloga,Ghana,"('Woe', 'Angloga', 'Ghana')",Woe,FALSE,Anloga,TRUE,Ghana,FALSE
Woe,Anloga,Ghana,"('Woe', 'Anloga', 'Ghana')",Woe,FALSE,Anloga,FALSE,Ghana,FALSE
Wori,Delta,Ghana,"('Wori', 'Delta', 'Ghana')",Wori,FALSE,Delta,FALSE,Ghana,FALSE
Work Not In Neighbourhood,Accra,Ghana,"('Work Not In Neighbourhood', 'Accra', 'Ghana')",-15,TRUE,Accra,FALSE,Ghana,FALSE
Wulensi,Accra,Ghana,"('Wulensi', 'Accra', 'Ghana')",Wulensi,FALSE,Accra,FALSE,Ghana,FALSE
Wulensi,Tamale,Ghana,"('Wulensi', 'Tamale', 'Ghana')",Wulensi,FALSE,Tamale,FALSE,Ghana,FALSE
Wulensi,Wulensi,Ghana,"('Wulensi', 'Wulensi', 'Ghana')",Wulensi,FALSE,Wulensi,FALSE,Ghana,FALSE
Yaba,Accra,Ghana,"('Yaba', 'Accra', 'Ghana')",Yaba,FALSE,Accra,FALSE,Ghana,FALSE
Yaba,Lagos,Ghana,"('Yaba', 'Lagos', 'Ghana')",Yaba,FALSE,Lagos,FALSE,Ghana,FALSE
Yam Market,Accra,Ghana,"('Yam Market', 'Accra', 'Ghana')",Old Fadama,TRUE,Accra,FALSE,Ghana,FALSE
Yam Market Area~ Old Fadama,Accra,Ghana,"('Yam Market Area~ Old Fadama', 'Accra', 'Ghana')",Old Fadama,TRUE,Accra,FALSE,Ghana,FALSE
Yam Market~  Old Fadama,Accra,Ghana,"('Yam Market~  Old Fadama', 'Accra', 'Ghana')",Old Fadama,TRUE,Accra,FALSE,Ghana,FALSE
Yam Market~ Old Fadama,Accra,Ghana,"('Yam Market~ Old Fadama', 'Accra', 'Ghana')",Old Fadama,TRUE,Accra,FALSE,Ghana,FALSE
Yamfo,Accra,Ghana,"('Yamfo', 'Accra', 'Ghana')",Yamfo,FALSE,Accra,FALSE,Ghana,FALSE
Yamfo,Sunyani,Ghana,"('Yamfo', 'Sunyani', 'Ghana')",Yamfo,FALSE,Sunyani,FALSE,Ghana,FALSE
Yao Park Area~ Old Fadama,Accra,Ghana,"('Yao Park Area~ Old Fadama', 'Accra', 'Ghana')",Old Fadama,TRUE,Accra,FALSE,Ghana,FALSE
Yapei,Tamale,Ghana,"('Yapei', 'Tamale', 'Ghana')",Yapei,FALSE,Tamale,FALSE,Ghana,FALSE
Yawkyerema,Koforidua,Ghana,"('Yawkyerema', 'Koforidua', 'Ghana')",-19,TRUE,Koforidua,FALSE,Ghana,FALSE
