157 How,count
because she was working as a domestic worker back at home now she is or working,1
paying of everything in the city to survive has made life more difficult,1
every month sending money to support my child while I'm not married to the mother of the child,1
i have to clean the house and cook by myself,1
adaptive to new environment,1
high life expectation in the city has made life for me more difficult,1
Had to learn trade,1
low income has made life more difficult here in the cify,1
sharing space makes it impossible to get privacy. And increased expenses also makes life harder,1
we no longer working and life is difficult,1
we cannot travel home to visit caus it's costly,1
I have been retrenched,1
i know how to fend and have skills to earn me money,1
Things are now very difficult. Getting a livelihood is difficult no,1
Living together with many Cousins have made it impossible to get privacy~Lack of School fees sometimes.,1
inadequate funds,1
economic low growth,1
little food and income,1
sending money home,1
income is low,1
housing~transport~ water problems,1
i have become more networked but dependent on people,1
Acquisition of basic needs is a problem,1
economic problems,1
Increase  in responsibility  since i got married with two kids,1
No jobs and more family expenses,1
economic growth is low,1
no movements,1
paying for upkeep in the rural any urban,1
loneliness~ economic  hardship,1
life is harder. income is hard to come by,1
we are sharing a small space now,1
Economic  Hardships,1
low income,1
yes,1
less income,1
I have to work twice as hard to sustain myself,1
difiicult to get food. personal items. fees,1
economic means and eduvation is harder to access,1
life is expensive and few family are here,1
many things are bought or paid for,1
lack of job,1
Develop a habit for outing,1
high rental standards made my life more difficult,1
had to resign and concentrate on my business but then there was lockdown and the business was very very slow,1
No job,1
stressful alone,1
Difficulties with train transport,1
there are no jobs,1
Difficult to raise money for business,1
When is sick her children are not around to help her.,1
missing her son who is in Lebowakgomo.,1
Raising money for my new work is difficult,1
Not working,1
cost of life is high. you buy and pay for everything,1
caring for two families can be challenging,1
Have become less aggressive to conform to the general Ghanaian lifestyle,1
the is lack of employment~cause I orkm The are no jobs anymore~I'm in the construction but now the are no jobs,1
because I am not working,1
no sanitation and electricity~ no proper housing,1
Increased budget allocation,1
life is hard. no employment and work,1
in terms of money~just lost his job,1
income is low and cost of life is high,1
Have to send more money by working harder,1
no change,1
employment and cost of life,1
being taken as an outsider has made life more difficult,1
our family business has fallen down no more costumers,1
supporting my niece and business is not doing well~also rent is too high,1
economic hardship,1
cost of life is high,1
Increased expenses.,1
migration to other areas makes life hectic. employment is hard,1
by not finding a job,1
because I'm not employed,1
we leave by handouts,1
it made business very slow,1
no income cause I have my own business,1
more difficult,1
my parents went to stay in the village,1
employment has become scarce and cost of life is high,1
difficulty in supporting a big family because of poor financial income,1
Lack of enough food and space.,1
life is expensive,1
I have an internet shop and the business now is very slow compared to the other years,1
business have been slow,1
employment,1
difficulty in caring for kids,1
Nobody will support with anything,1
Been unemployment,1
I lost my job last year,1
