336 How Have You Changed,count
I have to be extra tough because  of the diverse types of people  with diverse characters in this area^,1
Sharing a single room with others^,1
I have become  more assertive and business minded^,1
By learning the local languages  (Ga and Twi)^,1
I have learnt to live without my parents and siblings. ^~I have learnt to live with people of different cultures and orientation^,1
Accept to live in shark and work as a street hairdresser to survive^,1
Be friendly ^~Learn language ^,1
I have become more economical~ I eat twice and sometimes even once in a day^,1
Adopting a new lifestyle like staying in a populated area ^,1
I had to adapt to Diepsloot way of life^,1
Depending totally on people ^,1
Hawk around to sell traditional medicine to earn a living^,1
I had to be more open to people^,1
I have had to live under the guidance of my husband ^~I have learnt to live without my parents and siblings ^,1
Be friendly ^,1
The kind of food I ate in Korsile has changed. 8 cook and eat Ghanaian food now.^,1
I had to shift from Driving to  operate an entertainment industry^,1
Work harder^,1
I had to stop the tailoring job when I arrived in Madina for the first time and switch to trading in provisions because the latter was more profitable^,1
Stop school to learn Mechanic^,1
Stopped going out with friends ^,1
Work in order to continue my education ^,1
I don't make friends who will have bad influence on me ^~I stopped unnecessary spending ^,1
I had to learn the language spoken in the community^,1
Do more difficult work to survive ^,1
I'm more religious now~ I attend church often now.^~I have stopped following bad friends ^~I have taken life more seriously now^,1
Had to go into deliveries to sustain myself after School^,1
to stop my education and work as a caretaker^,1
i changed to hospitality work ^,1
work extra hard^,1
I have learnt to work in fields lower than my educational   level^,1
To work extra hard since the place was far from Home^,1
I have to work harder in order to survive and get my own place ^,1
learnt to take any job for cash^,1
do night shift jobs^,1
have become more agile^,1
Have to change dress code^,1
staying alone without friend^,1
started drinking^,1
economically versatile^,1
to become  more aggressive interms of what i was doing economically ^,1
economically agile and more educated and informed ^,1
Because of the business  i do - selling illicit brew ^,1
from doing ICT to plumbing ^,1
To work hard in order to fetch for my college fees^,1
had to adapt to the life here^,1
lifestyle^,1
because when I came here I used to sleep by the streets but now I have my own place^,1
had to adapt to the lifestyle here^,1
things he did back home and people he associatied with back home nowhere feels like a lesser person^,1
Covid has changed many times like w orking hours^,1
Buying food for himself^,1
good behavior^,1
To work hard for my college Fees^,1
Work hard  inorder to put  food on my table since it's away from home^,1
train as a cabin crew^,1
Learn to live with what you have^,1
Changed from fishing to be  a mechanic ^,1
Have had to learn speaking English to interact with people. Had to learn to play football with friends to make more friends ^,1
more informed^,1
Living with my friend to make end means^,1
Have had to change my lifestyle in order to fit in the neighbourhood. like my dressing code and also learn Swahili in order to communicate with my neighbours ^,1
I can plan my own things~ my time has to be shared with my work^,1
social interactions with people who cna make you grow^,1
moved to Nairobi lookinh for work^,1
have side job^,1
Learn to save ^,1
Changed tailoring to trade in consumables ^,1
Accept to be apprentice when I serve as master in Togo ^,1
have become more active and sharp in looking for opportunities^,1
social networks have increased ^,1
In securing a job^,1
Change in lifestyles~dressing code to suit the level of education. ^,1
working overtime^,1
i know how to fend and live with other communities^,1
from management to sales ^,1
To search for jobs. ^,1
more understanding and quick to learn the terrain^,1
economically versatile and all round^,1
Changed my lifestyle in order to secure a job.^,1
To be versatile in my economic  undertakings ^,1
doing everything legal to get money ^,1
None ^,1
tried to learn sales ^,1
start my own business^,1
have become more informed^,1
refused to say^,1
economically more active and agile^,1
Learning Swahili which is the Kenyan National  language  to enable me transact  most of my businesses  here.^,1
To become versatile ^,1
to be self-employed than been employed ^,1
Changed from being a normal civilian to a student.  Changed from being a normal civilian to a student. He became a Student.^,1
I've been able to work~communicate and help others.^,1
I had take a  boyfriend to survive ^,1
in some cases I was tempted to do crime cause of unemployment^,1
I avoid making too many friends ^~I have minimised the way I go out with friends ^,1
I had to learn speaking English and Swahili in order to interact with my neighbours and friends ^,1
have become knowledgeable ^,1
have become a better manager of husbands income ^,1
my country of origin ^,1
You have adapt to any situation you come across^,1
I learnt a trade in tailoring but now I have to be assisting in the selling of food until I save enough money to open my own shop.^,1
Being emotionally  strong and stoic.^,1
Stopped spending on funeral cloths Stopped going out unnecessarily Stopped spending out friends and outings ^,1
staying alone minus my family ^,1
Learn a new language (Twi)^,1
Become more friendly^,1
I spend less now^~I cannot buy the things I want ^,1
Have to get employment to survive ^,1
I have become more business minded^,1
Has become more open to people due to the customer care required for shopkeeping^,1
working for my family^,1
started using drugs^,1
more connected and social^,1
Be more friendly and less aggressive^,1
I had to learn  speaking English in order to communicate with some Kenyans ^,1
Being able to do anything that can sustain me economically.^,1
spirit to hussle because life is expensive ^,1
because they are people who are not wanting us to speak our language^,1
Had to do multiple jobs to earn a decent living^,1
Had to accept things the way they are^,1
had to learn Zulu so that I can be accepted^,1
have become careful and more independent^,1
To work extra hard^,1
from a 2bedrooms to bedsitter^,1
have become more frugal and better at noting business opportunities^,1
Save more^~Live a simple life ^,1
Stopped drinking ^~Stopped Womanising ^~Stopped over spending ^,1
Doing my personal work to survive (Phone repair)^,1
I stopped relying totally on my parents and started working ^,1
i had to reduce my household members ^,1
She used to stay in the township and everyone knows her.^,1
become jack of all trades^,1
reskilled inorder to keep up with economy^,1
have become skilled and versatile^,1
more economically active. combines business ideas and do more businesses^,1
am more skilled in diverse trades^,1
change of tribe^,1
I have had to learn to speak Swahili in order to communicate with my neighbours here in Kayole^,1
change of tribe and customs^,1
change of my country of origin to fit in^,1
I have had to learn a new language. Kiswahili.in order to communicate with Kenyans.^,1
have become wise and experienced in managing business^,1
Working extra hard^,1
learn to ride a bike^,1
have learnt diverse businesses and new skills ^,1
she had to adapt to speaking the language spoken I the community^,1
because I can do things on my own^~I can do things at my own time^,1
now I'm able to see wrong and right^,1
Taking care of myself ^~Being Responsible^,1
by getting a job^,1
Better at managing small income^,1
i had to learn tailoring and sewing skills.^,1
Working  extra hard to survive.^,1
understand local economt and have various skills^,1
By being a hard worker ^,1
more agressive in business^,1
Being Versatile ^,1
change my spending habits ^,1
I had to get used to the way of life of South Africa.^,1
