,count
I Stay With My Child,1
My Mother And Young Son,1
I Stay With My Family Only,1
Stay With Parter Alone,1
I'M Staying With My Partner,1
Extended Family  Membersna,1
Uncle And Grandparents,1
My Uncles,1
Mom,1
Other Community  People,1
Friends And Customers,1
A Friend From Country Of Current Residence,1
Relatives From Country Of Origin,1
My Home Boys From Zimbabwe,1
A Sister,1
My Friends,1
To Join Spouse,1
Her Mother And Son,1
Maternal  Relatives,1
Congolese Friend,1
Fellow Countrymen,1
People From Community  Of Origin,1
I Stay With M Children,1
Friends And Family Members,1
Mother And Brothers,1
Late Husband,1
Extended Family  Members,1
My Aunty,1
People From Country Of Origin,1
Ex Husband,1
Senior  Brother,1
Members From Country Of Origin,1
Ex-Husband,1
My Mother Was Here,1
Parent,1
A Friend From The Village,1
Just Old Time Friends From My Former High School,1
My Homeboys From Kwazulu Natal,1
Dad,1
Uncle And Aunty,1
Family Friends,1
Staying Together As A Household,1
Staying With Husband,1
I'M Staying With My Parents,1
All Staying Together,1
Staying With My Wife,1
Staying With My Husband,1
I Stay With My Partner And Child,1
Staying As A Family,1
Sisters,1
Staying With Her Daughter,1
Living With My Family,1
I Stay With My Friend,1
I'M Only Staying With My Children,1
Family From Original Country,1
Staying With His  Baby Son,1
I'M Staying Only With My Family,1
I Am Staying With My Family,1
I Stay With My Partner,1
Staying With My Sister,1
My Employers,1
Sister And Family Were Living There,1
Guardian,1
Uncle~ Friends,1
Sibilings,1
Kawangware,1
My Family~Brother,1
Friends And Some Relatives,1
Kenyan Friends,1
Auncle,1
Parents Came Before For Economic Reasons,1
Uncle And Friends,1
Parents  Were Staying Here.,1
girlfriend,1
