418 Motivation To Change  ,count
I just decided to change ^,1
after loosing the father of my children I was depressed so I decided to look for a church^,1
the church has same principles like my church back home^,1
The leaders are truthful^,1
Salvation through  Christ^,1
the Presbyterian church is closer to where  I stay^,1
I just like the church ^,1
the church was near to my living area^,1
moved from the region^,1
My brother ^,1
muslim culture^,1
Movement. I moved from home to Nairobi.Church of God was at home^,1
went into drugs and stopped church because of peer pressure ^,1
change of location and the former church isn't available in the city ^,1
husbands influence ^,1
I never went to church^,1
no religion at all^,1
nearest church^~they preach well^,1
nothing ^,1
my main church doesnt have a branch here^,1
It's near my residence ^,1
there is no my church around here^,1
Lack of confidence ^,1
Changed country of residence ^,1
Parents^,1
belong  to my ethic group ^,1
none doesn't  attended  any church  since in kayole ^,1
I felt I was not growing spiritually^,1
their services  are similar  to my main church ^,1
To join the husband in his church ^,1
There was no St.Teresa church in Kayole^,1
marriage ^,1
I didnt change religion ^,1
I never changed^,1
doctrines of the the new church^,1
Got saved^,1
To please wife^,1
my previous church changed the location to somewhere far from Adenta ^,1
Its too dull ^,1
I was not pleased with their actions ^,1
lost faith^,1
destination^,1
felt like changing^,1
My own volition. ^,1
she doesnt know where catholic church is around here^,1
No branch your of main church over here^,1
Not applicable~ since i haven't  changed religion. ^,1
closer to my house^,1
The previous church relocated ^,1
my husband ^,1
doctrines of the catholic church^,1
moved to a new location and there is no my church here^,1
the preaching  and they are social  to people ^,1
parents converted^,1
Didn't change^,1
Spiritual Revival^,1
It's  a friend who influenced me.^,1
proximity~ previous church is far from where I stay. ^,1
The church  was far away from  my place  of residence ^,1
The Ack church was a bit far^,1
most people  from my country  of orgin attend the church^,1
I went to that church cause it was close to where I use to visit my friend^,1
I followed my wife^,1
no orthodox around ^,1
I got a spiritual gift^,1
CHANGE IN LOCATION ^,1
my parents we're there people who made me change the church^,1
my parents were taking me to church^,1
too old for church now^,1
I had an issue with one of the church leaders^~All they are interested  in is money^,1
A Friend motivated me to join his church^,1
I felt inspired^,1
relocation ^,1
In Pentecostal i didn't feel the presence of God like i do in Jesus Winner Ministry ^,1
I just decided to change^,1
Was busy most of the weekends^,1
church is boring^,1
churches have become different institutions. they are businesses^,1
DISAPPOINTMENT FROM THE PERSON  LOOKING  UP TO^,1
just choose  to be my city church ^,1
Moved to a new place ^,1
gave up on prayer ^,1
the nature if the doctrines^,1
I don't have a specific reason^,1
the lead by her sister^,1
no religion~ doesn't go to church^,1
the were lot of issues happening within the congregation^,1
because I'm a prophetic person^,1
I was sick and it helped me^,1
no^,1
I was invited by someone^,1
INTENSE PRAYER^,1
Freedom of Worship~ ^,1
my husband's family belongs to this church~ as a wife I had to change to fit in^,1
the prea hers are liars ^,1
nice preaching ^,1
Personal reasons.^,1
I am always at work^,1
the church is  near and the believers there are friendly ^,1
was married to SDA and mother in law convienced her to change^,1
I just felt like i no longer need to go there anymore.^,1
I was recruited by a neighbor^,1
because they were. worshiping ancestors and idols that why she left^,1
always belonged to the roman Chatholic church^,1
