,respondentID,birthyear,age,duration,interval,location_name,location_type,location_latlon,distance_from_origin_location_km,distance_from_previous_location_km,distance_from_properties_owned_km,mother_tongue,n_moves,work_type,employment_status,work_aspiration,financial_support,children,children_since_leaving,p_kmGeo,p_kmGrC,O_kmGeo,O_kmGrC,lat,lon
276814.04,276814,1988,33,,,,4th migration location,,,,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,,,,,,
276814.05,276814,1988,33,319,0,"('Kayole', 'Nairobi', 'Kenya')",current location,"(-1.2659842, 36.916945500000004)",6810.632064680418,191.12133964252365,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,191.12133964252365,191.4284151565861,6810.632064680418,6824.346017393614,-1.2659842,36.916945500000004
276814.06,276814,1988,33,321,2,"('Kayole', 'Nairobi', 'Kenya')",current location,"(-1.2659842, 36.916945500000004)",6810.632064680418,0.0,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,0.0,0.0,6810.632064680418,6824.346017393614,-1.2659842,36.916945500000004
276814.07,276814,1988,33,327,6,,aspiration 2-6 months,,,,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,,,,,,
276814.08,276814,1988,33,345,18,,planned move 2 yrs,,,,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,,,,,,
276814.09,276814,1988,33,441,96,,planned move 10 yrs,,,,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,,,,,,
276814.1,276814,1988,33,561,120,,planned move retirement,,,,,Luo,3,-3,Doing casual jobs,-3,,Yes,1,,,,,,
276822.0,276822,1995,26,0,246,"('Kawango', 'Maseno', 'Kenya')",origin,"(0.0, 31.983333000000002)",0,0,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,0,0,0,0,0.0,31.983333000000002
276822.01,276822,1995,26,246,3,"('Kedowa', 'Kericho', 'Kenya')",1st migration location,"(-0.2333, 35.55)",397.8756416409136,397.8756416409136,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,397.8756416409136,397.442278876365,397.8756416409136,397.442278876365,-0.2333,35.55
276822.02,276822,1995,26,,,,2nd migration location,,,,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,,,,,,
276822.03,276822,1995,26,,,,3rd migration location,,,,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,,,,,,
276822.04,276822,1995,26,,,,4th migration location,,,,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,,,,,,
276822.05,276822,1995,26,249,0,"('Kayole', 'Nairobi', 'Kenya')",current location,"(-1.2659842, 36.916945500000004)",566.7236922137511,190.23528421033876,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,190.23528421033876,190.4848767021758,566.7236922137511,566.3235049693388,-1.2659842,36.916945500000004
276822.06,276822,1995,26,250,1,"('Kayole', 'Nairobi', 'Kenya')",current location,"(-1.2659842, 36.916945500000004)",566.7236922137511,0.0,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,0.0,0.0,566.7236922137511,566.3235049693388,-1.2659842,36.916945500000004
276822.07,276822,1995,26,256,6,,aspiration 2-6 months,,,,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,,,,,,
276822.08,276822,1995,26,274,18,,planned move 2 yrs,,,,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,,,,,,
276822.09,276822,1995,26,370,96,,planned move 10 yrs,,,,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,,,,,,
276822.1,276822,1995,26,490,120,,planned move retirement,,,,,Dholuo,1,-3,Working part-time (formal/informal sector),Teaching,10000.0,No,-1,,,,,,
276931.0,276931,1988,33,0,301,"('Mamboleo', 'Kisumu', 'Kenya')",origin,"(-0.05541535, 34.78619684046177)",0,0,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,0,0,0,0,-0.05541535,34.78619684046177
276931.01,276931,1988,33,,,,1st migration location,,,,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,,,,,,
276931.02,276931,1988,33,,,,2nd migration location,,,,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,,,,,,
276931.03,276931,1988,33,,,,3rd migration location,,,,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,,,,,,
276931.04,276931,1988,33,,,,4th migration location,,,,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,,,,,,
276931.05,276931,1988,33,301,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",257.198699744185,257.198699744185,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,257.198699744185,257.39090170075235,257.198699744185,257.39090170075235,-1.2784631000000002,36.751643
276931.06,276931,1988,33,361,60,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",257.198699744185,0.0,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,0.0,0.0,257.198699744185,257.39090170075235,-1.2784631000000002,36.751643
276931.07,276931,1988,33,367,6,,aspiration 2-6 months,,,,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,,,,,,
276931.08,276931,1988,33,385,18,,planned move 2 yrs,,,,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,,,,,,
276931.09,276931,1988,33,481,96,,planned move 10 yrs,,,,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,,,,,,
276931.1,276931,1988,33,601,120,,planned move retirement,,,,,Luo,1,-3,Doing casual jobs,Teaching,500.0,Yes,2,,,,,,
276932.0,276932,1988,33,0,302,"('Kajulu', 'Kisumu', 'Kenya')",origin,"(-1.3147454, 36.7835227)",0,0,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,0,0,0,0,-1.3147454,36.7835227
276932.01,276932,1988,33,,,,1st migration location,,,,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
276932.02,276932,1988,33,,,,2nd migration location,,,,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
276932.03,276932,1988,33,,,,3rd migration location,,,,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
276932.04,276932,1988,33,,,,4th migration location,,,,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
276932.05,276932,1988,33,302,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",5.355671920863338,5.355671920863338,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,5.355671920863338,5.36992840420979,5.355671920863338,5.36992840420979,-1.2784631000000002,36.751643
276932.06,276932,1988,33,362,60,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",5.355671920863338,0.0,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,0.0,0.0,5.355671920863338,5.36992840420979,-1.2784631000000002,36.751643
276932.07,276932,1988,33,368,6,,aspiration 2-6 months,,,,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
276932.08,276932,1988,33,386,18,,planned move 2 yrs,,,,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
276932.09,276932,1988,33,482,96,,planned move 10 yrs,,,,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
276932.1,276932,1988,33,602,120,,planned move retirement,,,,,Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
276935.0,276935,1985,36,0,27,"('Wote', 'Wote', 'Kenya')",origin,"(-1.7803167000000002, 37.62903529999999)",0,0,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,0,0,0,0,-1.7803167000000002,37.62903529999999
276935.01,276935,1985,36,27,366,"('Kawangware', 'Nairobi', 'Kenya')",1st migration location,"(-1.2784631000000002, 36.751643)",112.3040708396785,112.3040708396785,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,112.3040708396785,112.3632220241493,112.3040708396785,112.3632220241493,-1.2784631000000002,36.751643
276935.02,276935,1985,36,,,,2nd migration location,,,,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,,,,,,
276935.03,276935,1985,36,,,,3rd migration location,,,,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,,,,,,
276935.04,276935,1985,36,,,,4th migration location,,,,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,,,,,,
276935.05,276935,1985,36,393,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",112.3040708396785,0.0,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,0.0,0.0,112.3040708396785,112.3632220241493,-1.2784631000000002,36.751643
276935.06,276935,1985,36,399,6,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",112.3040708396785,0.0,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,0.0,0.0,112.3040708396785,112.3632220241493,-1.2784631000000002,36.751643
276935.07,276935,1985,36,405,6,,aspiration 2-6 months,,,,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,,,,,,
276935.08,276935,1985,36,423,18,,planned move 2 yrs,,,,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,,,,,,
276935.09,276935,1985,36,519,96,,planned move 10 yrs,,,,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,,,,,,
276935.1,276935,1985,36,639,120,,planned move retirement,,,,,Kamba,1,-3,Doing casual jobs,Na,500.0,Yes,1,,,,,,
277079.0,277079,-3,2024,0,240,"('Kai', 'Machakos', 'Kenya')",origin,"(43.290218599999996, -2.9951295)",0,0,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,0,0,0,0,43.290218599999996,-2.9951295
277079.01,277079,-3,2024,240,216,"('Kawangware', 'Nairobi', 'Kenya')",1st migration location,"(-1.2784631000000002, 36.751643)",6330.092680984795,6330.092680984795,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,6330.092680984795,6341.301275277429,6330.092680984795,6341.301275277429,-1.2784631000000002,36.751643
277079.02,277079,-3,2024,,,,2nd migration location,,,,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,,,,,,
277079.03,277079,-3,2024,,,,3rd migration location,,,,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,,,,,,
277079.04,277079,-3,2024,,,,4th migration location,,,,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,,,,,,
277079.05,277079,-3,2024,456,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",6330.092680984795,0.0,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,0.0,0.0,6330.092680984795,6341.301275277429,-1.2784631000000002,36.751643
277079.06,277079,-3,2024,456,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",6330.092680984795,0.0,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,0.0,0.0,6330.092680984795,6341.301275277429,-1.2784631000000002,36.751643
277079.07,277079,-3,2024,462,6,,aspiration 2-6 months,,,,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,,,,,,
277079.08,277079,-3,2024,480,18,,planned move 2 yrs,,,,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,,,,,,
277079.09,277079,-3,2024,576,96,,planned move 10 yrs,,,,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,,,,,,
277079.1,277079,-3,2024,696,120,,planned move retirement,,,,,Kamba,2,-3,Self-employed (run small business/income generation project),99,,Yes,0,,,,,,
277213.0,277213,1988,33,0,13,"('London', 'Nakuru', 'Kenya')",origin,"(51.52066515, -0.14577657494447913)",0,0,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,0,0,0,0,51.52066515,-0.14577657494447913
277213.01,277213,1988,33,,,,1st migration location,,,,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
277213.02,277213,1988,33,,,,2nd migration location,,,,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
277213.03,277213,1988,33,,,,3rd migration location,,,,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
277213.04,277213,1988,33,,,,4th migration location,,,,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
277213.05,277213,1988,33,13,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",6803.997006596817,6803.997006596817,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,6803.997006596817,6817.762744433221,6803.997006596817,6817.762744433221,-1.2784631000000002,36.751643
277213.06,277213,1988,33,73,60,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",6803.997006596817,0.0,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,0.0,0.0,6803.997006596817,6817.762744433221,-1.2784631000000002,36.751643
277213.07,277213,1988,33,79,6,,aspiration 2-6 months,,,,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
277213.08,277213,1988,33,97,18,,planned move 2 yrs,,,,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
277213.09,277213,1988,33,193,96,,planned move 10 yrs,,,,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
277213.1,277213,1988,33,313,120,,planned move retirement,,,,,Luo Luo,1,-3,Doing casual jobs,Business,,Yes,2,,,,,,
277290.0,277290,1991,30,0,300,"('Magadini', 'Moshi', 'Tanzania')",origin,"(-3.3415885000000003, 37.1534552)",0,0,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,0,0,0,0,-3.3415885000000003,37.1534552
277290.01,277290,1991,30,300,12,"('Muslim Kawangware', 'Nairobi', 'Kenya')",1st migration location,"(-1.2817823999999998, 36.7437905)",232.2783863915215,232.2783863915215,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,232.2783863915215,233.51854890872144,232.2783863915215,233.51854890872144,-1.2817823999999998,36.7437905
277290.02,277290,1991,30,312,45,"('Congo Kawangware', 'Nairobi', 'Kenya')",2nd migration location,"(-1.28866165, 36.75373651440741)",231.3173663448395,1.343081680661912,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,1.343081680661912,1.3444838318176118,231.3173663448395,232.55477639932715,-1.28866165,36.75373651440741
277290.03,277290,1991,30,,,,3rd migration location,,,,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,,,,,,
277290.04,277290,1991,30,,,,4th migration location,,,,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,,,,,,
277290.05,277290,1991,30,357,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",232.468823814781,1.1515201772483166,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,1.1515201772483166,1.1576632549200339,232.468823814781,233.71237739826176,-1.2784631000000002,36.751643
277290.06,277290,1991,30,375,18,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",232.468823814781,0.0,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,0.0,0.0,232.468823814781,233.71237739826176,-1.2784631000000002,36.751643
277290.07,277290,1991,30,381,6,,aspiration 2-6 months,,,,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,,,,,,
277290.08,277290,1991,30,399,18,,planned move 2 yrs,,,,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,,,,,,
277290.09,277290,1991,30,495,96,,planned move 10 yrs,,,,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,,,,,,
277290.1,277290,1991,30,615,120,,planned move retirement,,,,,Kimasaai,3,Self-employed (run small business/income generation project),Self-employed (run small business/income generation project),Business,5000.0,Yes,1,,,,,,
277291.0,277291,1993,28,0,222,"('Awendo', 'Migori', 'Kenya')",origin,"(-0.9079812, 34.53172)",0,0,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,0,0,0,0,-0.9079812,34.53172
277291.01,277291,1993,28,222,64,"('Eldoret', 'Eldoret', 'Kenya')",1st migration location,"(0.5198329, 35.271548100000004)",178.06815596828312,178.06815596828312,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,178.06815596828312,178.81207098553938,178.06815596828312,178.81207098553938,0.5198329,35.271548100000004
277291.02,277291,1993,28,286,38,"('Kasarani', 'Nairobi', 'Kenya')",2nd migration location,"(-1.2208721000000002, 36.9012224)",265.9859888532442,264.49015644720225,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,264.49015644720225,265.1388075852907,265.9859888532442,265.7188077556102,-1.2208721000000002,36.9012224
277291.03,277291,1993,28,324,18,"('Kawangware', 'Nairobi', 'Kenya')",3rd migration location,"(-1.2784631000000002, 36.751643)",250.44869826373926,17.823610010680277,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,17.823610010680277,17.819016993192413,250.44869826373926,250.21373787753572,-1.2784631000000002,36.751643
277291.04,277291,1993,28,,,,4th migration location,,,,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,,,,,,
277291.05,277291,1993,28,342,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",250.44869826373926,0.0,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,0.0,0.0,250.44869826373926,250.21373787753572,-1.2784631000000002,36.751643
277291.06,277291,1993,28,390,48,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",250.44869826373926,0.0,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,0.0,0.0,250.44869826373926,250.21373787753572,-1.2784631000000002,36.751643
277291.07,277291,1993,28,396,6,,aspiration 2-6 months,,,,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,,,,,,
277291.08,277291,1993,28,414,18,,planned move 2 yrs,,,,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,,,,,,
277291.09,277291,1993,28,510,96,,planned move 10 yrs,,,,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,,,,,,
277291.1,277291,1993,28,630,120,,planned move retirement,,,,,Dholuo,2,-3,Unemployed ,Research,2000.0,Yes,1,,,,,,
277321.0,277321,1993,28,0,144,"('Nakuru', 'Nakuru', 'Kenyan')",origin,"(-0.28027240000000003, 36.0712048)",0,0,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,0,0,0,0,-0.28027240000000003,36.0712048
277321.01,277321,1993,28,,,,1st migration location,,,,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,,,,,,
277321.02,277321,1993,28,,,,2nd migration location,,,,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,,,,,,
277321.03,277321,1993,28,,,,3rd migration location,,,,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,,,,,,
277321.04,277321,1993,28,,,,4th migration location,,,,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,,,,,,
277321.05,277321,1993,28,144,0,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",133.86105310589926,133.86105310589926,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,133.86105310589926,134.3245558145617,133.86105310589926,134.3245558145617,-1.2784631000000002,36.751643
277321.06,277321,1993,28,180,36,"('Kawangware', 'Nairobi', 'Kenya')",current location,"(-1.2784631000000002, 36.751643)",133.86105310589926,0.0,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,0.0,0.0,133.86105310589926,134.3245558145617,-1.2784631000000002,36.751643
277321.07,277321,1993,28,186,6,,aspiration 2-6 months,,,,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,,,,,,
277321.08,277321,1993,28,204,18,,planned move 2 yrs,,,,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,,,,,,
277321.09,277321,1993,28,300,96,,planned move 10 yrs,,,,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,,,,,,
277321.1,277321,1993,28,420,120,,planned move retirement,,,,,Kikuyu,2,-3,Self-employed (run small business/income generation project),Site Manager,3000.0,Yes,1,,,,,,
277354.0,277354,1989,32,0,120,"('Kikuyu', 'Nairobi', 'Kenya')",origin,"(-1.2438971, 36.6645832)",0,0,,Kikuyu,3,-3,Self-employed (run small business/income generation project),Chef,500.0,Yes,2,0,0,0,0,-1.2438971,36.6645832
277354.01,277354,1989,32,120,36,"('Mombasa', 'Msambweni', 'Kenya')",1st migration location,"(-4.05052, 39.667169)",455.8257835031421,455.8257835031421,,Kikuyu,3,-3,Self-employed (run small business/income generation project),Chef,500.0,Yes,2,455.8257835031421,456.7344949939034,455.8257835031421,456.7344949939034,-4.05052,39.667169
277354.02,277354,1989,32,156,60,"('Kawangware', 'Nairobi', 'Kenya')",2nd migration location,"(-1.2784631000000002, 36.751643)",10.41574408479293,446.14687670674846,,Kikuyu,3,-3,Self-employed (run small business/income generation project),Chef,500.0,Yes,2,446.14687670674846,447.06165821113837,10.41574408479293,10.413551766895969,-1.2784631000000002,36.751643
277354.03,277354,1989,32,,,,3rd migration location,,,,,Kikuyu,3,-3,Self-employed (run small business/income generation project),Chef,500.0,Yes,2,,,,,,
