index,SITE_CODE,8 Identify City ,203b,203b_theme,205c,205c_theme,207b,207b_theme,210b,210b_theme,215,215_theme,217,217_theme
278322,278322,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278323,278323,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278324,278324,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278326,278326,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278330,278330,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278340,278340,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278347,278347,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278348,278348,Nairobi ,"Asylum, war, crime, or violence",Safety,Access to work,Work,Access to work,Work,Job change or loss,Work,-1,(No Answer),-1,(No Answer)
278349,278349,Nairobi ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278358,278358,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278359,278359,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278360,278360,Nairobi ,"Familial ties, reunification, or inheritance",Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278373,278373,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278377,278377,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278384,278384,Nairobi ,Access to work,Work,Access to work,Work,Access to work,Work,Family reasons (unification / escape),Kin,Access to work,Work,Access to work or economic opportunities,Work
278385,278385,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278386,278386,Accra ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278387,278387,Accra ,Family reasons (unification / escape),Kin,Access to work,Work,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer)
278388,278388,Accra ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278391,278391,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278393,278393,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278394,278394,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278399,278399,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278404,278404,Nairobi ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278407,278407,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278408,278408,Nairobi ,Family reasons (unification / escape),Kin,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
278409,278409,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278412,278412,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278415,278415,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278416,278416,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278417,278417,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278419,278419,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278420,278420,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278435,278435,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278441,278441,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278442,278442,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
278444,278444,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279279,279279,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279386,279386,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279403,279403,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279404,279404,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279410,279410,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279416,279416,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279419,279419,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279420,279420,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279421,279421,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279425,279425,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279427,279427,Nairobi ,Access to work,Work,Access to work,Work,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer)
279429,279429,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279440,279440,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279443,279443,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279452,279452,Nairobi ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279454,279454,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279458,279458,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279470,279470,Johannesburg,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279477,279477,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279478,279478,Nairobi ,"Asylum, war, crime, or violence",Safety,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
279479,279479,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279489,279489,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279490,279490,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279504,279504,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279519,279519,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279523,279523,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279527,279527,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279532,279532,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279537,279537,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279552,279552,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279554,279554,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279574,279574,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279582,279582,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279583,279583,Nairobi ,Family reasons (unification / escape),Kin,"Familial ties, reunification, or inheritance",Kin,"Familial ties, reunification, or inheritance",Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer)
279585,279585,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279607,279607,Nairobi ,Access to work,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
279617,279617,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279618,279618,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279619,279619,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279627,279627,Nairobi ,Education (for self or others),Education,Education (for self or others),Education,Education (for self or others),Education,Access to work,Work,Access to work,Work,Access to work or economic opportunities,Work
279630,279630,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279631,279631,Nairobi ,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,"Familial ties, reunification, or inheritance",Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer)
279635,279635,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279637,279637,Accra ,Access to work,Work,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer)
279649,279649,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279652,279652,Nairobi ,Political reason,Safety,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
279658,279658,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279661,279661,Accra ,"Familial ties, reunification, or inheritance",Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279700,279700,Nairobi ,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer)
279704,279704,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279793,279793,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279890,279890,Nairobi ,Place no longer available,Housing,Cost of rent (too high& somewhere else much cheaper),Housing,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer)
279892,279892,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
279894,279894,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280105,280105,Nairobi ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280106,280106,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280108,280108,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280113,280113,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280116,280116,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280117,280117,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280120,280120,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280130,280130,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280133,280133,Nairobi ,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280135,280135,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280136,280136,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280137,280137,Nairobi ,Education (for self or others),Education,Education (for self or others),Education,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer)
280139,280139,Nairobi ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280146,280146,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280148,280148,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280154,280154,Nairobi ,Education (for self or others),Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280159,280159,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280173,280173,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280174,280174,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280175,280175,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280187,280187,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280201,280201,Nairobi ,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280211,280211,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280212,280212,Nairobi ,Access to work,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
280215,280215,Nairobi ,Access to work,Work,Access to work,Work,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer)
280220,280220,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280247,280247,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280251,280251,Nairobi ,New business or expansion,Work,"Exploration, restart, or independence",Restart,Cost of rent (too high& somewhere else much cheaper),Housing,-1,(No Answer),-1,(No Answer),-1,(No Answer)
280253,280253,Nairobi ,Access to work,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
280257,280257,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280258,280258,Accra ,Family reasons (unification / escape),Kin,Family reasons (unification / escape),Kin,"Exploration, restart, or independence",Restart,-1,(No Answer),-1,(No Answer),-1,(No Answer)
280261,280261,Nairobi ,Family reasons (unification / escape),Kin,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280265,280265,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280270,280270,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280273,280273,Accra ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280285,280285,Nairobi ,Family reasons (unification / escape),Kin,Divorce or death in family,Kin,New business or expansion,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
280291,280291,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280302,280302,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280307,280307,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280312,280312,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280315,280315,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280316,280316,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280330,280330,Nairobi ,Education (for self or others),Education,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
280337,280337,Accra ,Access to work,Work,Evicted,Housing,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer)
280340,280340,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280406,280406,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280446,280446,Nairobi ,Access to education or training,Education,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280487,280487,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280566,280566,Nairobi ,Access to work,Work,Access to work,Work,Access to work,Work,-1,(No Answer),-1,(No Answer),-1,(No Answer)
280700,280700,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
280709,280709,Nairobi ,-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer),-1,(No Answer)
