index,203b_theme,205c_theme,207b_theme,210b_theme,215_theme,217_theme,count
278259,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278260,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278262,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278267,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278268,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278269,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278270,Work,Work,Work,Kin,(No Answer),(No Answer),1
278276,Work,Work,Work,Restart,(No Answer),(No Answer),1
278279,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278295,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278300,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278309,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278313,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278314,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278318,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278321,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278322,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278323,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278324,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278326,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278330,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278340,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278347,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278348,Safety,Work,Work,Work,(No Answer),(No Answer),1
278349,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278358,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278359,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278360,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278373,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278377,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278384,Work,Work,Work,Kin,Work,Work,1
278385,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278386,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278387,Kin,Work,Housing,(No Answer),(No Answer),(No Answer),1
278388,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278391,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278393,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278394,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278399,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278404,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278407,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278408,Kin,Work,Work,(No Answer),(No Answer),(No Answer),1
278409,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278412,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278415,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278416,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278417,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278419,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278420,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278435,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278441,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278442,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
278444,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279279,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279386,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279403,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279404,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279410,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279416,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279419,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279420,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279421,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279425,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279427,Work,Work,Housing,(No Answer),(No Answer),(No Answer),1
279429,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279440,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279443,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279452,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279454,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279458,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279470,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279477,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279478,Safety,Work,Work,(No Answer),(No Answer),(No Answer),1
279479,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279489,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279490,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279504,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279519,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279523,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279527,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279532,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279537,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279552,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279554,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279574,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279582,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279583,Kin,Kin,Kin,(No Answer),(No Answer),(No Answer),1
279585,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279607,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
279617,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279618,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279619,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279627,Education,Education,Education,Work,Work,Work,1
279630,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279631,Kin,Kin,Kin,(No Answer),(No Answer),(No Answer),1
279635,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279637,Work,Kin,Kin,(No Answer),(No Answer),(No Answer),1
279649,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279652,Safety,Work,Work,(No Answer),(No Answer),(No Answer),1
279658,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279661,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279700,Kin,Kin,Kin,(No Answer),(No Answer),(No Answer),1
279704,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279793,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279890,Housing,Housing,Housing,(No Answer),(No Answer),(No Answer),1
279892,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
279894,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280105,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280106,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280108,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280113,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280116,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280117,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280120,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280130,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280133,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280135,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280136,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280137,Education,Education,Education,(No Answer),(No Answer),(No Answer),1
280139,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280146,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280148,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280154,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280159,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280173,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280174,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280175,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280187,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280201,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280211,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280212,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
280215,Work,Work,Housing,(No Answer),(No Answer),(No Answer),1
280220,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280247,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280251,Work,Restart,Housing,(No Answer),(No Answer),(No Answer),1
280253,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
280257,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280258,Kin,Kin,Restart,(No Answer),(No Answer),(No Answer),1
280261,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280265,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280270,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280273,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280285,Kin,Kin,Work,(No Answer),(No Answer),(No Answer),1
280291,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280302,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280307,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280312,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280315,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280316,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280330,Education,Work,Work,(No Answer),(No Answer),(No Answer),1
280337,Work,Housing,Work,Work,(No Answer),(No Answer),1
280340,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280406,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280446,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280487,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280566,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
280700,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280709,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280716,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280717,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280720,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280721,Housing,Housing,Housing,(No Answer),(No Answer),(No Answer),1
280722,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280723,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280725,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
280729,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280738,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280745,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
280747,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280750,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
280752,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280754,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280761,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280773,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280774,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280776,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280778,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280784,Education,Education,Education,Work,Work,Work,1
280787,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280798,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280799,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
280811,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280819,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280821,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280823,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280829,Education,Kin,Kin,Work,(No Answer),(No Answer),1
280836,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280847,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280851,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280853,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280854,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280856,Restart,Kin,Kin,(No Answer),(No Answer),(No Answer),1
280857,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280861,Kin,Work,Work,(No Answer),(No Answer),(No Answer),1
280863,Safety,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280866,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280871,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280872,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280873,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280874,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280875,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280876,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280877,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280881,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280887,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
280901,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281912,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281916,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281918,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281919,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281920,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281926,Education,Work,Work,(No Answer),(No Answer),(No Answer),1
281936,Housing,Safety,Safety,Safety,Education,Education,1
281940,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281942,Work,Housing,Housing,(No Answer),(No Answer),(No Answer),1
281943,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281944,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281954,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281956,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281957,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281958,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281972,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281973,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281975,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281977,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281979,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281985,Education,Education,Kin,Education,(No Answer),(No Answer),1
281986,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281993,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281996,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281997,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281998,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
281999,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
282001,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282002,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
282008,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282010,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282018,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282025,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282029,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282034,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282035,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282036,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282040,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
282046,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282048,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282052,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282053,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282054,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282055,Kin,Work,Work,(No Answer),(No Answer),(No Answer),1
282056,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282064,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282065,Education,Work,Work,(No Answer),(No Answer),(No Answer),1
282066,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
282074,Safety,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282075,Kin,Kin,Education,Education,Kin,Housing,1
282076,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282077,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282078,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282079,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282080,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282081,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282082,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282084,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282085,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282086,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282087,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282088,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282089,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282092,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282093,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282095,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282096,Education,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282395,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282396,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282397,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282398,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282399,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282459,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282480,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282491,Safety,Housing,Safety,(No Answer),(No Answer),(No Answer),1
282500,Restart,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282502,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282503,Education,Education,Education,(No Answer),(No Answer),(No Answer),1
282515,Work,Restart,Restart,Work,Work,Remain,1
282520,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282524,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282525,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282539,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282540,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282543,Safety,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282545,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282549,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282551,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282552,Safety,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282553,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282554,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282559,Kin,Kin,Kin,(No Answer),(No Answer),(No Answer),1
282566,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282567,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282573,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282585,Housing,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282587,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282589,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282599,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282600,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282601,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282602,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282607,Restart,Work,Kin,(No Answer),(No Answer),(No Answer),1
282608,Education,Work,Work,(No Answer),(No Answer),(No Answer),1
282610,Safety,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282611,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282612,Safety,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282620,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282622,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282623,Kin,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282627,Work,Work,Work,(No Answer),(No Answer),(No Answer),1
282630,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282632,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282637,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
282641,Work,(No Answer),(No Answer),(No Answer),(No Answer),(No Answer),1
