location,lat,lon,UNWPP(people/km²),Response
"nan, Mumias, Kenya", 0.3333, 34.4833, 2785, Village
"nan, Thika, Kenya", -1.0333, 37.0667, 4206, Village
"Bukavu, Democratic Republic of the Congo", -2.5125, 28.8645, 13044, Village
"nan, Bushika, Uganda", 0.9500, 34.6667, 2224, Village
"nan, Eldoret, Kenya", 0.5167, 35.2833, 3524, Village
"Moyale, Ethiopia", 3.5214, 39.0520, 4231, Village
"nan, Mombasa, Kenya", -4.0435, 39.6682, 14591, Village
"nan, Webuye, Kenya", 0.6014, 34.7667, 2291, Village
"Meru Town, Kenya", -0.0463, 37.6496, 3878, Village
"nan, Nyeri, Kenya", -0.4167, 36.9500, 4286, Village
"Kinshasa, Democratic Republic of the Congo", -4.4419, 15.2663, 44622, Village
"Gaza, Gaza, Mozambique", -24.8170, 33.5906, 2, City
"Blk, Block, Malawi", -11.4300, 34.0151, 89, City
"Bilene, Mozambique", -25.2583, 33.2667, 307, Village
"Macia, Mozambique", -25.0386, 33.0983, 532, Village
"Madibong, South Africa", -24.6167, 30.4167, 718, Village
"Lusikisiki, South Africa", -31.3667, 29.5833, 1012, Village
"Malamulele, South Africa", -23.0180, 30.7258, 1187, Village
"Elim, South Africa", -23.1271, 30.5233, 1030, Village
"Mondlo, South Africa", -27.9833, 30.4833, 14, City
"Chingola, Zambia", -12.5300, 27.8500, 97, City
"Fort Beaufort, South Africa", -32.7833, 26.6333, 312, Village
"Lira City, Uganda", 2.2487, 32.9000, 560, Village
"Matatiele, South Africa", -30.3382, 28.7981, 731, Village
"Embangweni, Malawi", -11.0075, 33.5322, 1060, Village
"Bushbuckridge, South Africa", -24.5314, 31.1066, 1208, Village
"Vryheid, South Africa", -27.7667, 30.8000, 1487, Village
"Morogoro, Tanzania", -6.8333, 37.6667, 23, City
"Bangou, Cameroon", 5.1604, 10.2704, 221, City
"Leribe, Lesotho", -28.8700, 28.0400, 388, Village
"Amsterdam, South Africa", -26.4667, 30.7167, 561, Village
"Thohoyandou, South Africa", -22.9459, 30.4848, 737, Village
"Rustenburg, South Africa", -25.6676, 27.2421, 1071, Village
"Matadi, Democratic Republic of the Congo", -5.8167, 13.4500, 68, City
"Mannies, Welkom, South Africa", -27.9833, 26.7333, 238, City
"Hloste, Lesotho", -29.3100, 27.4900, 388, Village
"Tlakgameng, South Africa", -26.1833, 24.5833, 629, Village
"Nkandla, South Africa", -28.6167, 31.1000, 653, Village
"Xai-Xai, Mozambique", -25.0519, 33.6442, 1102, Village
"Beira, Mozambique", -19.8333, 34.8500, 769, Village
"Mafeteng, Lesotho", -29.8333, 27.2500, 408, Village
"Maddadeni, Emadadeni, South Africa", -28.2415, 30.1674, 938, Village
"Makhado, South Africa", -23.0147, 29.9205, 1129, Village
"Kwamhlanga, South Africa", -25.4153, 28.6950, 1239, Village
"Bulawayo, Zimbabwe", -20.1574, 28.5856, 1683, Village
"Maseru, Lesotho", -29.3167, 27.4833, 1667, Village
"Mafikeng, South Africa", -25.8667, 25.6333, 1963, Village
"Nqutu, South Africa", -28.2500, 30.6667, 2127, Village
"Pietersburg, South Africa", -23.9000, 29.4500, 3273, Village
"KwaMashu, South Africa", -29.7530, 30.9933, 4435, Village
"Krugersdorp, South Africa", -26.0947, 27.7990, 1695, Village
"Dundee, South Africa", -28.1667, 30.2333, 1982, Village
"Queenstown, South Africa", -31.9000, 26.8833, 2266, Village
"Dutywa, South Africa", -32.1000, 28.0000, 3286, Village
"Lethabong, South Africa", -26.0167, 28.1667, 5567, Village
"Mkhuhlu, South Africa", -25.0500, 31.2833, 1752, Village
"Muzuzu, Malawi", -11.4410, 34.0114, 2005, Village
"Ermelo, South Africa", -26.5333, 29.9833, 2291, Village
"Dikeni, South Africa", -32.7178, 27.0653, 3328, Village
"Maputo, Mozambique", -25.9655, 32.5832, 7767, Village
"Greytown, South Africa", -29.0653, 30.5859, 1761, Village
"Thulamahashe, South Africa", -24.5333, 31.2167, 2045, Village
"Nelspruit, South Africa", -25.4759, 30.9694, 2089, Village
"Pietermaritzburg, South Africa", -29.6167, 30.3833, 2942, Village
"Giyani, South Africa", -23.3000, 30.7167, 3356, Village
"Natalspruit, South Africa", -26.3106, 28.1422, 9863, Village
"nan, Orsumoghu, Nigeria", 5.9967, 6.9011, 1752, Village
"nan, Nsukka, Nigeria", 6.8564, 7.3884, 1855, Village
"Polokwane, South Africa", -23.9000, 29.4500, 3273, Village
"Bloemfontein, South Africa", -29.1167, 26.2167, 3356, Village
"Lahore, Ethiopia", 9.0579, 38.7591, 46325, Village
