,ID,ID_ordered,location,dist,azimuth,lat_x,lon_x,location_type,max_dist_moves,grouping,location_l,location_near,location_country,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,geometry,lat_y,lon_y,in_thm,move_count_in,In_No_Answer,In_Education,In_Housing,In_Kin,In_Restart,In_Safety,In_Work,out_thm,move_count_out,Out_No_Answer,Out_Education,Out_Housing,Out_Kin,Out_Remain,Out_Restart,Out_Safety,Out_Work
37,278276,278276.03,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,211,120.62504461626784,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Casual employment/temporary worker,2,Casual employment/temporary worker,Yes,Agikuyu,Kikuyu,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
38,278313,278313.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,1610.9518871642126,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Sudan,Female,Self-employed (run small business/income generation project),1,Self-employed (run small business/income generation project),No,Nuba,Nubian,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
39,278314,278314.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,485.1871645287762,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Uganda,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Gisu,Kigisu,No,Yes,Yes,24.740202020121277,0.061797359237758,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
41,278324,278324.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,405.55523762061296,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,1,Unemployed,Yes,Kikuyu,Kikuyu,No,No,No,54.86100243178862,0.4663449346826361,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
42,278330,278330.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,277.59287427028966,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Unemployed ,2,Unemployed,Yes,Luo,Dholuo,No,Yes,Yes,12.591181556771687,0.2162572684079089,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
45,278348,278348.03,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,211,3010.4081748585963,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Uganda,Female,Doing casual jobs,3,Doing casual jobs,No,Wagisu,Kigisu,No,No,Yes,94.4657957561447,0.0837018618818752,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
46,278349,278349.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,485.1871645287762,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Uganda,Male,University/technikon/correspondence student,1,Unemployed,No,Luganda,Luganda,No,No,No,94.92157428563024,0.1561704054484312,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
47,278360,278360.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,835.4547143817878,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Democratic Republic Of The Congo,Female,Doing casual jobs,1,Casual employment/temporary worker,No,Nyabisha,Kinyabisha,No,No,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
53,278384,278384.04,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,214,841.7131502148305,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Burundi,Male,Casual employment/temporary worker,2,Casual employment/temporary worker,No,Hutu,Kiburundi,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
57,278386,278386.04,"('Adenta', 'Accra', 'Ghana')",1.967693780863146,1.6321607381661996,-0.1687965,5.7041391,202,252.28856496271055,moves200,Adenta,Accra,Ghana,Accra,Madina,Ghana,Female,Working part-time (formal/informal sector),4,Working full-time (formal/informal sector),Yes,Kwahu,Twi,No,Yes,Yes,,,POINT (-0.1687964994587219 5.704139100439193),5.7041391,-0.1687965,Work,8.0,0.0,1.0,2.0,4.0,0.0,0.0,8.0,(No Answer),13.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
59,278387,278387.02,"('Adenta', 'Accra', 'Ghana')",1.967693780863146,1.6321607381661996,-0.1687965,5.7041391,206,47.21986671610261,moves200,Adenta,Accra,Ghana,Accra,Madina,Ghana,Female,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Ga,Ga,No,Yes,Yes,,,POINT (-0.1687964994587219 5.704139100439193),5.7041391,-0.1687965,Work,8.0,0.0,1.0,2.0,4.0,0.0,0.0,8.0,(No Answer),13.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
60,278391,278391.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,66.86698308601385,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Self-employed (run small business/income generation project),1,Self-employed (run small business/income generation project),Yes,Kikuyu,Kikuyu,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
61,278393,278393.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,493.4157636106773,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Ethiopia,Female,Self-employed (run small business/income generation project),0,Self-employed (run small business/income generation project),No,Borana,Kiborana,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
62,278404,278404.01,"('Kiambiu', 'Nairobi', 'Kenya')",12.407911923596506,-0.0274037774891304,36.8634101,-1.2822758,202,12.407911923596506,moves200,Kiambiu,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Female,Unemployed ,2,Unemployed,Yes,Luo,Dholuo,No,Yes,Yes,21.61623631106542,0.5900298331516469,POINT (36.86341010059584 -1.282275799588319),-1.2822758,36.8634101,Education,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,278407,278407.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,230.7575268260629,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Other,2,Other (specify),Yes,Nandi,Nandi,No,No,No,34.8812794468889,0.0438920719542994,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
65,278408,278408.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,206,346.3854634153949,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Uganda,Female,Self-employed (run small business/income generation project),1,Working full-time (formal/informal sector),No,Mwoseibei,Kigumba,No,Yes,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
66,278417,278417.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,335.2293702430809,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Uganda,Female,Housewife/homemaker,2,Housewife/homemaker,No,Kgisu,Kgisu,No,No,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
67,278442,278442.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,226.6047760447664,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Female,Casual employment/temporary worker,1,Casual employment/temporary worker,Yes,Luhya,Tiriki,No,Yes,No,31.43336345432129,0.1327877399234762,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
68,279386,279386.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,929.224916731248,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Ethiopia,Male,Working full-time (formal/informal sector),2,Working full-time (formal/informal sector),No,Oromo,Oromo,No,No,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
69,279416,279416.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,313.8751343304977,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working full-time (formal/informal sector),2,Working full-time (formal/informal sector),Yes,Teso,Kiteso,No,Yes,No,9.692033402689106,2.641887949687919,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
70,279420,279420.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,803.4420942529454,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Northern Bahr El - Ghazal,Luer,No,Yes,Yes,600.5595588443913,0.0203857459665144,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
71,279425,279425.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,271.9435161483056,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Kuria,Kikuria,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
73,279427,279427.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,206,269.3386015035923,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Unemployed ,3,Unemployed,Yes,Mluhya,Kiluhya,No,Yes,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
74,279443,279443.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,245.8051419309156,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Unemployed ,1,Unemployed,Yes,Dholuo,Dholuo,No,Yes,No,19.20036588614917,0.1840946312545917,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
75,279452,279452.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,120.9362831052233,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,4,Unemployed,Yes,Meru,Kiswahili,No,No,Yes,289.1037738020365,0.9874397481080044,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
76,279454,279454.05,"('Awaza', 'Pretoria', 'South Africa')",2485.37162197859,-1.846928168377576,28.1879444,-25.7459374,215,2485.37162197859,moves200,Awaza,Pretoria,South Africa,Nairobi,Kayole,Kenya,Male,Self-employed (run small business/income generation project),-3,Self-employed (run small business/income generation project),No,100,Shona,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,
77,279458,279458.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,0.0,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Male,Doing casual jobs,0,Unemployed,Yes,Luo,Dholuo,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
80,279478,279478.05,"('Kakuma', 'Nairobi', 'Kenya')",502.5180328194522,1.9841140758448257,34.825154,3.753338,215,835.4547143817878,moves200,Kakuma,Nairobi,Kenya,Nairobi,Kawangware,Democratic Republic Of The Congo,Male,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Muluba,Lingala,Yes,No,No,825.3118396822144,5.92828133453033,,,,,,,,,,,,,,,,,,,,,,
81,279479,279479.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,292.6090764245537,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Housewife/homemaker,2,Housewife/homemaker,Yes,Bukusu,Bukusu,No,Yes,No,14.239687666849989,0.03235207562407,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,(No Answer),75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
