,ID,ID_ordered,location,dist,azimuth,lat,lon,location_type,max_dist_moves,grouping,location_l,location_near,location_country,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,geometry,lat_d,lon_d,in_thm,move_count,In_No_Answer,In_Education,In_Housing,In_Kin,In_Restart,In_Safety,In_Work,location_out,geometry_out,out_thm,move_count_out,Out_No_Answer,Out_Education,Out_Housing,Out_Kin,Out_Remain,Out_Restart,Out_Safety,Out_Work
15,276822,276822.06,"('Kayole', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.9169455,-1.2659842,9,261.96541434424176,moves200,Kayole,Nairobi,Kenya,Nairobi,Kayole,Kenya,Female,Working part-time (formal/informal sector),1,-3,Yes,Luo,Dholuo,No,Yes,No,,,POINT (36.91694550003484 -1.265984200310527),-1.2659842,36.9169455,Work,44.0,0.0,4.0,10.0,11.0,2.0,5.0,44.0,"('Ongata Rongai', 'Nairobi', 'Kenya')",POINT (36.75201060030906 -1.395968000023117),,71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
16,276931,276931.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Luo,Luo,No,Yes,No,,,POINT (34.75417609984714 -0.1029109001178767),-0.1029108999999999,34.7541761,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kilgoris', 'Narok', 'Kenya')",POINT (34.8800100004612 -1.008390999944652),Safety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,276931,276931.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,245.8051419309156,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Luo,Luo,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
18,276932,276932.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Luo,Luo,No,No,No,,,POINT (34.75417609984714 -0.1029109001178767),-0.1029108999999999,34.7541761,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kilgoris', 'Narok', 'Kenya')",POINT (34.8800100004612 -1.008390999944652),Safety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,276932,276932.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,245.8051419309156,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Luo,Luo,No,No,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
21,276934,276934.01,"('Kericho', 'Kericho', 'Kenya')",182.48463065657063,2.6696406100243624,35.2833,-0.3666,202,358.79075742427807,moves200,Kericho,Kericho,Kenya,Nairobi,Kawangware,Kenya,Male,Working part-time (formal/informal sector),1,-3,Yes,Kikuyu,Kiswahili,No,Yes,No,,,POINT (35.28330000029479 -0.3666000002897363),-0.3666,35.2833,Work,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,"('Kedowa', 'Kericho', 'Kenya')",POINT (35.55000000099938 -0.2332999999949834),,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,276934,276934.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,358.79075742427807,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working part-time (formal/informal sector),1,-3,Yes,Kikuyu,Kiswahili,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
25,276935,276935.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,152.0807049784701,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Kamba,Kamba,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
26,276935,276935.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,152.0807049784701,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Kamba,Kamba,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
27,277079,277079.0,"('Machakos', 'Machakos', 'Kenya')",71.4290855789395,-0.0006713596871269,37.39526976452546,-1.27900465,100,71.4290855789395,moves200,Machakos,Machakos,Kenya,Nairobi,Kawangware,Kenya ,Female,Self-employed (run small business/income generation project),2,-3,Yes,Kamba,Kamba,No,Yes,No,,,POINT (37.39526976478788 -1.279004649644776),-1.27900465,37.39526976452546,Education,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"('Buruburu', 'Nairobi', 'Kenya')",POINT (36.88104001428525 -1.2943887502405),Work,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
28,277079,277079.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,71.4290855789395,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Female,Self-employed (run small business/income generation project),2,-3,Yes,Kamba,Kamba,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
29,277213,277213.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Luo,Luo Luo,No,No,No,,,POINT (34.75417609984714 -0.1029109001178767),-0.1029108999999999,34.7541761,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kilgoris', 'Narok', 'Kenya')",POINT (34.8800100004612 -1.008390999944652),Safety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30,277213,277213.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,245.8051419309156,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Luo,Luo Luo,No,No,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
32,277290,277290.01,"('Muslim Kawangware', 'Nairobi', 'Kenya')",0.8697240130940761,-2.56294523694695,36.7450815,-1.2837889999999998,202,307.99927049238755,moves200,Muslim Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Tanzania,Male,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Mwarusha Maasai,Kimasaai,Yes,Yes,No,25.147898516633177,0.1787203105656345,POINT (36.74508150021126 -1.283788999762464),-1.2837889999999998,36.7450815,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Manyatta', 'Kisumu', 'Kenya')",POINT (34.48139350030982 0.3333086002117511),,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,277290,277290.02,"('Congo', 'Nairobi', 'Kenya')",0.9398872309190224,-1.3209717127690883,36.75373651440741,-1.28866165,206,307.99927049238755,moves200,Congo,Nairobi,Kenya,Nairobi,Kawangware,Tanzania,Male,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Mwarusha Maasai,Kimasaai,Yes,Yes,No,25.147898516633177,0.1787203105656345,POINT (36.75373651442874 -1.288661649815253),-1.28866165,36.75373651440741,Work,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,"('Teshie', 'Accra', 'Ghana')",POINT (-0.1135103996850262 5.582234300072969),Work,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
35,277290,277290.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,307.99927049238755,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Tanzania,Male,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Mwarusha Maasai,Kimasaai,Yes,Yes,No,25.147898516633177,0.1787203105656345,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
37,277291,277291.01,"('Eldoret', 'Eldoret', 'Kenya')",230.7575268260629,2.353386183866443,35.271548100000004,0.5198329,202,248.58017229350835,moves200,Eldoret,Eldoret,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,2,-3,Yes,Luo,Dholuo,No,Yes,Yes,,,POINT (35.27154810046466 0.5198329001683533),0.5198329,35.271548100000004,Work,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,"('Savelugu', 'Tamale', 'Ghana')",POINT (-0.8258942993823553 9.626064699926076),Kin,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
38,277291,277291.02,"('Kasarani', 'Nairobi', 'Kenya')",17.376444033583642,0.2998680691897761,36.9012224,-1.2208721000000002,202,248.58017229350835,moves200,Kasarani,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,2,-3,Yes,Luo,Dholuo,No,Yes,Yes,,,POINT (36.90122239999391 -1.220872100267059),-1.2208721000000002,36.9012224,Work,4.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,"('Ashaiman', 'Accra', 'Ghana')",POINT (-0.02952900006323489 5.694385000467548),,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39,277291,277291.02,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,206,248.58017229350835,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,2,-3,Yes,Luo,Dholuo,No,Yes,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
40,277291,277291.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,248.58017229350835,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,2,-3,Yes,Luo,Dholuo,No,Yes,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
42,277321,277321.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,204.0266920380253,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya ,Male,Self-employed (run small business/income generation project),2,-3,Yes,Kikuyu,Kikuyu,No,Yes,No,170.1761655555113,1.6994489095641183,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
44,277354,277354.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,7.292625401689183,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Self-employed (run small business/income generation project),3,-3,Yes,Kikuyu,Kikuyu,No,Yes,Yes,6.464433825733701,2.472946670618692,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
45,277372,277372.01,"('Busia', 'Kakamega', 'Kenya')",313.8751343304977,2.6361740317196785,34.26479520608315,0.3712048,202,313.8751343304977,moves200,Busia,Kakamega,Kenya,Nairobi,Kawangware,Uganda,Female,Unemployed ,3,-3,No,Mganda Mkisu,Mganda Mgisu,No,Yes,No,,,POINT (34.26479520653368 0.3712048000616051),0.3712048,34.26479520608315,Kin,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"('Brakpan', 'Benoni', 'South Africa')",POINT (28.37000000059953 -26.23527799967991),,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,277372,277372.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,313.8751343304977,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Uganda,Female,Unemployed ,3,-3,No,Mganda Mkisu,Mganda Mgisu,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
48,277374,277374.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,1294.4751660605714,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan,Male,University/technikon/correspondence student,3,-3,No,Dinka,Dinka,Yes,No,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
50,277374,277374.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,1294.4751660605714,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,South Sudan,Male,University/technikon/correspondence student,3,-3,No,Dinka,Dinka,Yes,No,Yes,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
52,277415,277415.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,194.87047730323383,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working full-time (formal/informal sector),1,-3,Yes,Kisii,Kisii,No,No,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
53,277415,277415.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,194.87047730323383,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Working full-time (formal/informal sector),1,-3,Yes,Kisii,Kisii,No,No,No,0.0,0.0,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
55,277420,277420.01,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,202,269.3386015035923,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Doing casual jobs,1,-3,Yes,Luhya,Luhya,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
56,277420,277420.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,269.3386015035923,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Doing casual jobs,1,-3,Yes,Luhya,Luhya,No,Yes,No,,,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
57,277424,277424.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,0,Other (specify),Yes,Luo,Dholuo ,No,No,No,238.5125165292264,2.7469042644617554,POINT (34.75417609984714 -0.1029109001178767),-0.1029108999999999,34.7541761,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"('Kilgoris', 'Narok', 'Kenya')",POINT (34.8800100004612 -1.008390999944652),Safety,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
58,277424,277424.06,"('Kawangware', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,9,245.8051419309156,moves200,Kawangware,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,0,Other (specify),Yes,Luo,Dholuo ,No,No,No,238.5125165292264,2.7469042644617554,POINT (36.75164300062414 -1.278463100391605),-1.2784631000000002,36.751643,Work,37.0,0.0,10.0,16.0,15.0,0.0,1.0,37.0,"('Old Fadama', 'Accra', 'Ghana')",POINT (-0.2225216000917385 5.548867100436439),,63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
59,277425,277425.0,"('Machakos', 'Machakos', 'Kenya')",71.4290855789395,-0.0006713596871269,37.39526976452546,-1.27900465,100,71.4290855789395,moves200,Machakos,Machakos,Kenya,Nairobi,Kawangware,Kenya,Male,Casual employment/temporary worker,1,-3,Yes,Kamba,Kamba,No,Yes,No,4.554213191747692,0.1571033976660621,POINT (37.39526976478788 -1.279004649644776),-1.27900465,37.39526976452546,Education,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"('Buruburu', 'Nairobi', 'Kenya')",POINT (36.88104001428525 -1.2943887502405),Work,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
