,Unnamed: 0,ID,ID_ordered,location,dist,azimuth,lat,lon,location_type,max_dist_moves,grouping,location_l,location_near,location_country,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,Q100_1,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
10,29,277213,277213.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Doing casual jobs,1,-3,Yes,Luo,Luo Luo,No,No,No,,,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
11,31,277290,277290.0,"('Moshi', 'Moshi', 'Tanzania')",195.5141203917576,-1.2173260116125817,37.3435249,-3.3486456,100,307.99927049238755,moves200,Moshi,Moshi,Tanzania,Nairobi,Kawangware,Tanzania,Male,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Mwarusha Maasai,Kimasaai,Yes,Yes,No,25.147898516633177,0.1787203105656345,"('Moshi', 'Moshi', 'Tanzania')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,36,277291,277291.0,"('Awendo', 'Awendo', 'Kenya')",248.58017229350835,3.004302297902599,34.53172,-0.9079812,100,248.58017229350835,moves200,Awendo,Awendo,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,2,-3,Yes,Luo,Dholuo,No,Yes,Yes,,,"('Awendo', 'Awendo', 'Kenya')",Urban Village,Urban,Village,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
13,41,277321,277321.0,"('nan', 'Sachangwan', 'Kenya')",204.0266920380253,2.191268489961909,35.668389700000006,0.5549545,100,204.0266920380253,moves200,,Sachangwan,Kenya,Nairobi,Kawangware,Kenya ,Male,Self-employed (run small business/income generation project),2,-3,Yes,Kikuyu,Kikuyu,No,Yes,No,170.1761655555113,1.6994489095641183,"('nan', 'Sachangwan', 'Kenya')",Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,43,277354,277354.0,"('Nairobi', 'Nairobi', 'Kenya')",7.292625401689183,-0.0586410413053811,36.8172449,-1.2832533000000002,100,7.292625401689183,moves200,Nairobi,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Male,Self-employed (run small business/income generation project),3,-3,Yes,Kikuyu,Kikuyu,No,Yes,Yes,6.464433825733701,2.472946670618692,"('Nairobi', 'Nairobi', 'Kenya')",Urban Town,Urban,Town,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,7.0
15,47,277374,277374.0,"('Warrap', 'Warrap', 'South Sudan')",1294.4751660605714,2.306942453316699,28.5,8.5,100,1294.4751660605714,moves200,Warrap,Warrap,South Sudan,Nairobi,Kawangware,South Sudan,Male,University/technikon/correspondence student,3,-3,No,Dinka,Dinka,Yes,No,Yes,,,"('Warrap', 'Warrap', 'South Sudan')",Non-Urban City,Non-Urban,City,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,51,277415,277415.0,"('Sondu', 'Sondu', 'Kenya')",194.87047730323383,2.749540064257177,35.125814,-0.4616812,100,194.87047730323383,moves200,Sondu,Sondu,Kenya,Nairobi,Kawangware,Kenya,Male,Working full-time (formal/informal sector),1,-3,Yes,Kisii,Kisii,No,No,No,0.0,0.0,"('Sondu', 'Sondu', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,54,277420,277420.0,"('Kakamega', 'Kitale', 'Kenya')",269.3386015035923,2.4945118495864844,34.80154886163461,0.4957104,100,269.3386015035923,moves200,Kakamega,Kitale,Kenya,Nairobi,Kawangware,Kenya,Female,Doing casual jobs,1,-3,Yes,Luhya,Luhya,No,Yes,No,,,"('Kakamega', 'Kitale', 'Kenya')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,57,277424,277424.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Unemployed ,0,Other (specify),Yes,Luo,Dholuo ,No,No,No,238.5125165292264,2.7469042644617554,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
19,59,277425,277425.0,"('Machakos', 'Machakos', 'Kenya')",71.4290855789395,-0.0006713596871269,37.39526976452546,-1.27900465,100,71.4290855789395,moves200,Machakos,Machakos,Kenya,Nairobi,Kawangware,Kenya,Male,Casual employment/temporary worker,1,-3,Yes,Kamba,Kamba,No,Yes,No,4.554213191747692,0.1571033976660621,"('Machakos', 'Machakos', 'Kenya')",Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
20,61,277426,277426.0,"('Oyugis', 'Oyugis', 'Kenya')",234.34832489068643,2.8364748077358795,34.734576000000004,-0.509908,100,234.34832489068643,moves200,Oyugis,Oyugis,Kenya,Nairobi,Kawangware,Kenya ,Female,Working full-time (formal/informal sector),2,Working full-time (formal/informal sector),Yes,Luo,Dholuo,No,No,No,,,"('Oyugis', 'Oyugis', 'Kenya')",Urban Village,Urban,Village,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
21,63,277444,277444.0,"('Busia', 'Busia', 'Kenya')",313.8751343304977,2.6361740317196785,34.26479520608315,0.3712048,100,313.8751343304977,moves200,Busia,Busia,Kenya,Nairobi,Kawangware,Kenya,Male,Working full-time (formal/informal sector),2,-3,Yes,Luhya,Luhya,No,Yes,No,275.49554397170016,2.649258002164848,"('Busia', 'Busia', 'Kenya')",Urban Village,Urban,Village,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0
22,65,277446,277446.0,"('Bujumbura', 'Bujumbura', 'Burundi')",841.7131502148305,-2.8979959032040647,29.3675028,-3.3638125,100,2176.001423002862,moves200,Bujumbura,Bujumbura,Burundi,Nairobi,Kawangware,Burundi,Male,Self-employed (run small business/income generation project),3,-3,No,Muutu,Kiburundi,No,Yes,No,0.8004571274046839,0.0037635691516171,"('Bujumbura', 'Bujumbura', 'Burundi')",Urban Town,Urban,Town,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
23,69,277459,277459.0,"('Malaba', 'Malaba', 'Kenya')",325.4144792298569,2.5699736039295167,34.269397999999995,0.632706,100,325.4144792298569,moves200,Malaba,Malaba,Kenya,Nairobi,Kawangware,Kenya,Female,Unemployed ,2,-3,Yes,Lughya,Lughya,No,No,Yes,12871.331003545294,0.4219623028419539,"('Malaba', 'Malaba', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,72,277462,277462.0,"('Chuka', 'Chuka', 'Kenya')",130.3098024781002,0.6946309746781566,37.6500021,-0.3332938,100,130.3098024781002,moves200,Chuka,Chuka,Kenya,Nairobi,Kawangware,Kenya ,Female,Self-employed (run small business/income generation project),1,-3,Yes,Meru,Meru,No,Yes,No,123.01717707641104,0.7532720159835378,"('Chuka', 'Chuka', 'Kenya')",Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,74,277933,277933.0,"('Madina', 'Adenta', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,100,0.0,moves200,Madina,Adenta,Ghana,Accra,Madina,Ghana ,Male,Self-employed (run small business/income generation project),1,-3,Yes,Dangbe,Twi ,No,No,No,,,"('Madina', 'Adenta', 'Ghana')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,76,278053,278053.0,"('Adenta', 'Adenta', 'Ghana')",1.967693780863146,1.6321607381661996,-0.1687965,5.7041391,100,1.967693780863146,moves200,Adenta,Adenta,Ghana,Accra,Madina,Ghana,Male,Working full-time (formal/informal sector),1,-3,Yes,Dangme,Twi,No,Yes,No,,,"('Adenta', 'Adenta', 'Ghana')",Urban Town,Urban,Town,7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0
27,78,278067,278067.0,"('Adenta', 'Accra', 'Ghana')",1.967693780863146,1.6321607381661996,-0.1687965,5.7041391,100,1.967693780863146,moves200,Adenta,Accra,Ghana,Accra,Madina,Ghana,Female,Working part-time (formal/informal sector),3,-3,Yes,Ga,Twi,No,Yes,No,,,"('Adenta', 'Accra', 'Ghana')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,80,278075,278075.0,"('Kisumu', 'Kisumu', 'Kenya')",245.8051419309156,2.6882632231563743,34.7541761,-0.1029108999999999,100,245.8051419309156,moves200,Kisumu,Kisumu,Kenya,Nairobi,Kawangware,Kenya,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Luo,Dholuo,No,Yes,Yes,0.0,0.0,"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
29,83,278076,278076.0,"('Obuasi', 'Obuasi', 'Ghana')",178.12056911903997,2.8073720893177185,-1.6894044999999998,6.211542,100,178.12056911903997,moves200,Obuasi,Obuasi,Ghana,Accra,Madina,Ghana,Male,Other,2,Working full-time (formal/informal sector),Yes,Akantwi,Twi Twi ,No,Yes,No,19.77659307729249,0.3000329954908505,"('Obuasi', 'Obuasi', 'Ghana')",Non-Urban Town,Non-Urban,Town,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,86,278077,278077.0,"('Kumasi', 'Kumasi', 'Ghana')",196.40088264922133,2.531191449409267,-1.6230403999999998,6.698081,100,196.40088264922133,moves200,Kumasi,Kumasi,Ghana,Accra,Madina,Ghana,Male,Working full-time (formal/informal sector),1,Working full-time (formal/informal sector),Yes,Akan,Twitwi,No,Yes,No,9.662126693719586,0.0504069049127688,"('Kumasi', 'Kumasi', 'Ghana')",Urban Town,Urban,Town,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0
31,89,278081,278081.0,"('Lagos', 'Lagos', 'Nigeria')",403.03251865193226,0.2136681192415584,3.3941795,6.4550575,100,403.03251865193226,moves200,Lagos,Lagos,Nigeria,Accra,Madina,Nigeria,Male,Self-employed (run small business/income generation project),1,Other (specify),No,Igbo,Igbo,No,Yes,No,0.0,0.0,"('Lagos', 'Lagos', 'Nigeria')",Unclassified Town,Unclassified,Town,17,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0
32,91,278084,278084.0,"('Madina', 'Accra', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,100,0.0,moves200,Madina,Accra,Ghana,Accra,Madina,Ghana,Male,Casual employment/temporary worker,0,-3,Yes,Ewe,Twi,No,No,No,,,"('Madina', 'Accra', 'Ghana')",Urban City,Urban,City,19,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
33,93,278086,278086.0,"('Koforidua', 'Koforidua', 'Ghana')",47.21986671610261,1.7921498875227388,-0.2614572,6.100333999999999,100,47.21986671610261,moves200,Koforidua,Koforidua,Ghana,Accra,Madina,Ghana,Female,Self-employed (run small business/income generation project),1,-3,Yes,Akan,,No,Yes,No,43.592288848752375,0.0861639895318269,"('Koforidua', 'Koforidua', 'Ghana')",Urban Town,Urban,Town,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0
34,95,278087,278087.0,"('nan', 'Cotonou', 'Togo')",205.62766354170284,0.3004497562634546,1.6085998,6.233297299999999,100,205.62766354170284,moves200,,Cotonou,Togo,Accra,Madina,Togo,Male,Other,0,-3,No,Ewe,French,No,Yes,No,43.55311743881055,0.6716549410974012,"('nan', 'Cotonou', 'Togo')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35,97,278252,278252.0,"('Al Diyum East', 'Khartoum', 'Sudan')",1611.1788838669513,1.7784682057214236,32.539207899999994,15.5690117,100,1611.1788838669513,moves200,Al Diyum East,Khartoum,Sudan,Nairobi,Kawangware,Sudan,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Dinka,Dinka,No,Yes,No,,,"('Al Diyum East', 'Khartoum', 'Sudan')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,100,278253,278253.0,"('Kawangware', 'Kawangware', 'Kenya')",0.01,3.141592653589793,36.751643,-1.2784631000000002,100,19.003810850004506,moves200,Kawangware,Kawangware,Kenya,Nairobi,Kawangware,Kenya ,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Luhya,Luhya,No,Yes,No,,,"('Kawangware', 'Kawangware', 'Kenya')",Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
37,104,278259,278259.0,"('Nairobi', 'Nairobi', 'Kenya')",7.292625401689183,-0.0586410413053811,36.8172449,-1.2832533000000002,100,7.292625401689183,moves200,Nairobi,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Doing casual jobs,0,Casual employment/temporary worker,No,Luhya,Kiluhya_Maragoli,No,Yes,Yes,253.0983554779666,0.7337434637903195,"('Nairobi', 'Nairobi', 'Kenya')",Urban Town,Urban,Town,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,7.0
38,106,278260,278260.0,"('Bujumbura', 'Bujumbura', 'Burundi')",841.7131502148305,-2.8979959032040647,29.3675028,-3.3638125,100,841.7131502148305,moves200,Bujumbura,Bujumbura,Burundi,Nairobi,Kawangware,Burundi,Male,Casual employment/temporary worker,1,Casual employment/temporary worker,No,Hutu,Kirundi,No,Yes,No,,,"('Bujumbura', 'Bujumbura', 'Burundi')",Urban Town,Urban,Town,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
39,108,278262,278262.0,"('Kakamega', 'Kakamega', 'Kenya')",269.3386015035923,2.4945118495864844,34.80154886163461,0.4957104,100,269.3386015035923,moves200,Kakamega,Kakamega,Kenya,Nairobi,Kawangware,Kenya,Female,Doing casual jobs,3,Casual employment/temporary worker,Yes,Luhya,Kiluhya,No,Yes,No,7.640330903222889,0.0018765346064544,"('Kakamega', 'Kakamega', 'Kenya')",Urban Village,Urban,Village,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0
40,110,278267,278267.0,"('Butiama', 'Butiama', 'Tanzania')",308.2923857821494,-3.011735105553841,33.995521715642184,-1.7103998,100,308.2923857821494,moves200,Butiama,Butiama,Tanzania,Nairobi,Kawangware,Tanzania,Female,Unemployed ,3,Other (specify),No,Mjita,Kiswahili,No,Yes,Yes,,,"('Butiama', 'Butiama', 'Tanzania')",Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,112,278268,278268.0,"('Garissa', 'Garissa', 'Kenya')",405.5207078698747,0.1588976451047292,40.35638690578711,-0.52360305,100,405.5207078698747,moves200,Garissa,Garissa,Kenya,Nairobi,Kawangware,Kenya ,Male,Unemployed ,1,Unemployed,Yes,Mijikenda,Mijikenda ,No,Yes,Yes,4.66883410719646,0.2552204202782511,"('Garissa', 'Garissa', 'Kenya')",Non-Urban Village,Non-Urban,Village,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,114,278269,278269.0,"('nan', 'Qaqriyal', 'South Sudan')",1329.8392954841138,2.327837684399372,28.0984675,8.534443800000002,100,1329.8392954841138,moves200,,Qaqriyal,South Sudan,Nairobi,Kawangware,South Sudan ,Female,Unemployed ,0,Unemployed,No,Dinka,Dinka,Yes,No,Yes,,,"('nan', 'Qaqriyal', 'South Sudan')",Non-Urban Village,Non-Urban,Village,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,117,278270,278270.0,"('Kakamega', 'Kakamega', 'Kenya')",269.3386015035923,2.4945118495864844,34.80154886163461,0.4957104,100,269.3386015035923,moves200,Kakamega,Kakamega,Kenya,Nairobi,Kawangware,Kenya,Female,Unemployed ,3,Self-employed (run small business/income generation project),Yes,Luhya,Luhya,No,Yes,No,34.55994535039258,0.2685767542751844,"('Kakamega', 'Kakamega', 'Kenya')",Urban Village,Urban,Village,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0
44,124,278276,278276.0,"('Kerugoya', 'Kerugoya', 'Kenya')",90.9094911252628,0.867948628260446,37.278584,-0.49633,100,120.62504461626784,moves200,Kerugoya,Kerugoya,Kenya,Nairobi,Kawangware,Kenya,Male,Casual employment/temporary worker,2,Casual employment/temporary worker,Yes,Agikuyu,Kikuyu,No,Yes,No,0.0,0.0,"('Kerugoya', 'Kerugoya', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45,129,278279,278279.0,"('Kitale', 'Kitale', 'Kenya')",284.1893777695408,2.311867853982756,35.000236,1.018076,100,284.1893777695408,moves200,Kitale,Kitale,Kenya,Nairobi,Kawangware,Kenya,Female,Unemployed ,2,Unemployed,Yes,Luhya,Kimaragoli,No,Yes,No,38.38423583862519,0.3763953691736184,"('Kitale', 'Kitale', 'Kenya')",Urban Town,Urban,Town,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
46,131,278295,278295.0,"('Nairobi', 'Nairobi', 'Kenya')",7.292625401689183,-0.0586410413053811,36.8172449,-1.2832533000000002,100,7.292625401689183,moves200,Nairobi,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Unemployed ,3,Unemployed,Yes,Luhya,Kiswahili,No,No,Yes,262.04597610190314,2.553152890891865,"('Nairobi', 'Nairobi', 'Kenya')",Urban Town,Urban,Town,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,7.0
47,133,278300,278300.0,"('Bujumbura', 'Bujumbura', 'Burundi')",841.7131502148305,-2.8979959032040647,29.3675028,-3.3638125,100,841.7131502148305,moves200,Bujumbura,Bujumbura,Burundi,Nairobi,Kawangware,Burundi,Female,Casual employment/temporary worker,2,Casual employment/temporary worker,No,Muhutu,Kiburundi,No,No,Yes,,,"('Bujumbura', 'Bujumbura', 'Burundi')",Urban Town,Urban,Town,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
48,135,278309,278309.0,"('Bujumbura', 'Bujumbura', 'Burundi')",841.7131502148305,-2.8979959032040647,29.3675028,-3.3638125,100,841.7131502148305,moves200,Bujumbura,Bujumbura,Burundi,Nairobi,Kawangware,Burundi,Male,Self-employed (run small business/income generation project),0,Self-employed (run small business/income generation project),No,Kiburundi,Kiburundi,No,Yes,No,,,"('Bujumbura', 'Bujumbura', 'Burundi')",Urban Town,Urban,Town,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0
49,137,278313,278313.0,"('Al Riyadh', 'Al Riyadh', 'Sudan')",1610.9518871642126,1.7763967400567469,32.567664,15.579633,100,1610.9518871642126,moves200,Al Riyadh,Al Riyadh,Sudan,Nairobi,Kawangware,Sudan,Female,Self-employed (run small business/income generation project),1,Self-employed (run small business/income generation project),No,Nuba,Nubian,No,Yes,No,0.0,0.0,"('Al Riyadh', 'Al Riyadh', 'Sudan')",Urban City,Urban,City,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
50,140,278314,278314.0,"('Kampala', 'Kampala', 'Uganda')",485.1871645287762,2.8272973504938177,32.5813539,0.3177137,100,485.1871645287762,moves200,Kampala,Kampala,Uganda,Nairobi,Kawangware,Uganda,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Gisu,Kigisu,No,Yes,Yes,24.740202020121277,0.061797359237758,"('Kampala', 'Kampala', 'Uganda')",Urban Town,Urban,Town,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0
51,143,278318,278318.0,"('Ugunja', 'Ugunja', 'Kenya')",302.85838713686337,2.681741996151474,34.2964709,0.1811616,100,302.85838713686337,moves200,Ugunja,Ugunja,Kenya,Nairobi,Kawangware,Kenya ,Female,Unemployed ,4,Unemployed,Yes,Luo,Dholuo,No,Yes,Yes,0.0,0.0,"('Ugunja', 'Ugunja', 'Kenya')",Urban Village,Urban,Village,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
52,145,278321,278321.0,"('Mbalala', 'Mbalala', 'Uganda')",461.7486566705846,2.801164480039457,32.816666999999995,0.366667,100,461.7486566705846,moves200,Mbalala,Mbalala,Uganda,Nairobi,Kawangware,Uganda,Female,Unemployed ,2,Unemployed,No,Wanyankole,Olunyankole,No,No,No,,,"('Mbalala', 'Mbalala', 'Uganda')",Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,147,278322,278322.0,"('Bukoba', 'Bukoba', 'Tanzania')",548.7143700973836,-3.133695825358631,31.805192849594786,-1.32416585,100,548.7143700973836,moves200,Bukoba,Bukoba,Tanzania,Nairobi,Kawangware,Tanzania,Male,Working part-time (formal/informal sector),2,Working part-time (formal/informal sector),Yes,Haya,Swahili,No,No,Yes,506.616522362265,3.669783462448772,"('Bukoba', 'Bukoba', 'Tanzania')",Urban Town,Urban,Town,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
54,149,278323,278323.0,"('Nairobi', 'Nairobi', 'Kenya')",7.292625401689183,-0.0586410413053811,36.8172449,-1.2832533000000002,100,7.292625401689183,moves200,Nairobi,Nairobi,Kenya,Nairobi,Kawangware,Kenya,Female,Self-employed (run small business/income generation project),0,Self-employed (run small business/income generation project),Yes,Kikuyu,Kikuyu,No,No,No,87.6188257885419,0.8861781452527204,"('Nairobi', 'Nairobi', 'Kenya')",Urban Town,Urban,Town,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,7.0
